,Year,Plot,Biomass.g.m2,Species
1,2014,2,1.42,Aristida basiramea
2,2014,2,0.92,Cyperus sp.
3,2014,2,0.02,Digitaria sp.
4,2014,2,0.02,Euphorbia glyptosperma
5,2014,2,182.12,Lespedeza capitata
6,2014,2,22.03,Miscellaneous litter
7,2014,2,0.15,Mollugo verticillata
8,2014,2,0.97,Poa pratensis
9,2014,2,0.07,Silene antirrhina
10,2014,2,0.58,Taraxicum officinalis
11,2014,3,0.13,Agrostis scabra
12,2014,3,0.24,Andropogon gerardi
13,2014,3,0.47,Aristida basiramea
14,2014,3,0.22,Bouteloua gracilis
15,2014,3,0.48,Cyperus sp.
16,2014,3,0.03,Erigeron strigosus
17,2014,3,1.28,Festuca sp.
18,2014,3,0.02,Lepidium densiflorum
19,2014,3,0.67,Lespedeza capitata
20,2014,3,88.28,Liatris aspera
21,2014,3,58.97,Miscellaneous litter
22,2014,3,5.22,Monarda fistulosa
23,2014,3,0.33,Panicum perlongum
24,2014,3,4.53,Panicum virgatum
25,2014,3,0.13,Poa pratensis
26,2014,3,1.82,Polygonum tenue
27,2014,3,0.3,Rumex acetosella
28,2014,3,0.06,Schizachyrium scoparium
29,2014,3,4.27,Solidago rigida
30,2014,3,1.08,Sporobolus cryptandrus
31,2014,5,0.08,Agrostis scabra
32,2014,5,32.15,Andropogon gerardi
33,2014,5,0.19,Aristida basiramea
34,2014,5,0.3,Cyperus sp.
35,2014,5,0.07,Festuca sp.
36,2014,5,0.19,Miscellaneous litter
37,2014,5,0.05,Polygonum tenue
38,2014,5,0.12,Schizachyrium scoparium
39,2014,6,0.08,Agrostis scabra
40,2014,6,0.08,Bouteloua gracilis
41,2014,6,0.32,Cyperus sp.
42,2014,6,0.24,Festuca sp.
43,2014,6,0.11,Miscellaneous litter
44,2014,6,0.23,Panicum virgatum
45,2014,6,36.52,Schizachyrium scoparium
46,2014,9,15.63,Achillea millefolium(lanulosa)
47,2014,9,13.85,Andropogon gerardi
48,2014,9,1.93,Cyperus sp.
49,2014,9,0.16,Erigeron canadensis
50,2014,9,61.27,Lespedeza capitata
51,2014,9,0.95,Liatris aspera
52,2014,9,4.25,Lupinus perennis
53,2014,9,0.3,Monarda fistulosa
54,2014,9,0.55,Petalostemum purpureum
55,2014,9,18.65,Poa pratensis
56,2014,9,0.48,Rumex acetosella
57,2014,9,10.1,Schizachyrium scoparium
58,2014,9,0.19,Solidago rigida
59,2014,9,52.37,Sorghastrum nutans
60,2014,11,120.03,Achillea millefolium(lanulosa)
61,2014,11,2.72,Aristida basiramea
62,2014,11,0.08,Bouteloua gracilis
63,2014,11,0.03,Crepis tectorum
64,2014,11,5.43,Cyperus sp.
65,2014,11,0.14,Digitaria sp.
66,2014,11,0.01,Hedeoma hispida
67,2014,11,0.09,Lespedeza capitata
68,2014,11,0.17,Linaria vulgaris
69,2014,11,0.8,Miscellaneous litter
70,2014,11,0.48,Physalis virginiana
71,2014,11,0.65,Poa pratensis
72,2014,11,2.18,Polygonum tenue
73,2014,11,0.18,Rumex acetosella
74,2014,11,0.43,Taraxicum officinalis
75,2014,11,3.18,Trifolium repens
76,2014,12,13.43,Achillea millefolium(lanulosa)
