x	y	bio.16	bio.17	bio.1	bio.2	bio.3	S_PH_H2O
-111.75	24.75	112.5002845	10.87021984	21.41984418	10.29292494	49.40397248	7.40419
-111.75	25.25	115.4352496	13.03475126	21.47663012	11.34644924	49.90971216	7.43572
-111.75	25.75	118.9143163	15.92983	21.55391734	11.71091265	49.10891039	7.55978
-111.25	24.25	133.1093804	10.18547751	21.65953013	10.44999483	50.00138009	7.42612
-111.25	24.75	133.8253587	12.10580638	21.63894688	12.06719065	50.75201609	7.49952
-111.25	25.25	140.0557386	14.67297927	21.92752626	11.6646841	48.98273407	7.71992
-111.25	25.75	142.5220681	17.31716102	22.18724354	11.57532808	47.65882899	7.79913
-110.75	24.25	160.908093	12.2906118	22.08384387	10.26091117	48.41675346	7.57036
-110.75	24.75	162.9205887	14.62406926	22.13534304	11.11337169	48.45578419	7.6612
-110.25	23.25	187.8843603	10.47904118	22.6556748	6.441292322	42.39190251	7.25951
-110.25	23.75	190.9132556	12.41832201	22.64085188	7.595553026	43.87391802	7.18506
-110.25	24.25	197.8844836	15.31671067	22.71965103	8.167367584	43.8089077	7.32983
-109.75	23.25	215.558112	11.75056084	22.82135731	7.007282009	42.94159669	6.5613
-109.75	23.75	223.794152	14.65442753	23.04057396	6.781419355	41.26746129	6.48781
-109.25	25.75	225.9100392	29.81022801	22.6567827	9.735672603	44.99130068	7.62873
-109.25	26.25	242.1347741	35.28027419	21.49820721	12.22649036	48.15418498	7.62618
-108.75	25.75	286.6879164	32.26652823	21.2756514	13.109657	51.29784371	7.60043
-108.75	26.25	319.0254875	39.0519345	19.67026917	15.29801225	52.71677878	7.54525
-108.25	25.25	324.7816368	29.73386457	20.96858411	11.94203553	51.01055242	7.63317
-108.25	25.75	357.1929151	35.56626619	19.40626099	16.14366309	55.37549968	7.48955
-107.75	24.75	372.3782512	30.01278091	20.68245932	11.09621003	50.7860269	7.62883
-107.75	25.25	414.3895984	39.24494755	18.56694413	13.9381301	53.46269303	7.4905
-107.75	25.75	455.6125342	49.21515584	16.47015371	16.12493977	54.77278984	6.78722
-107.25	24.25	410.9429864	26.94804714	20.07270638	12.02901638	53.67551789	7.636
-107.25	24.75	455.8956106	36.2193316	17.99062868	14.5205998	55.17938577	7.30543
-107.25	25.25	505.3077957	50.3198795	15.64126581	15.5370281	54.83282061	6.55211
-106.75	23.75	437.7747672	27.58718634	19.86335957	10.458591	53.36226484	7.58028
-106.75	24.25	486.1439368	34.54093605	17.5036052	14.6424173	56.95014135	6.80717
-106.75	24.75	534.2448929	46.88032294	15.1975277	16.6222712	57.36259886	6.37069
-106.25	23.25	451.409652	26.5451521	19.44168059	10.46613197	54.75793373	7.35166
-106.25	23.75	509.1818141	37.4745826	17.09425544	12.96050291	56.57710225	6.54372
-106.25	24.25	571.0472898	49.73413399	14.64443617	15.03922966	57.45611047	6.35642
-105.75	22.75	474.5728747	25.92074714	18.79316202	12.22993562	58.10438311	7.56947
-105.75	23.25	526.3351577	33.91097387	16.54705901	14.25165121	58.58921375	6.5173
-105.75	23.75	576.3536871	48.55920421	14.22817149	14.94866184	58.46536073	6.35131
-105.25	19.75	471.0382838	22.952636	22.23049796	7.090319655	53.22275112	6.42115
-105.25	20.25	490.7131068	23.95751057	21.4144518	8.843948174	55.07471029	6.41606
-105.25	20.75	491.7825851	24.95622199	20.94429669	9.799670926	56.58382255	6.42663
-105.25	21.25	459.2311533	22.92326074	20.77561614	10.5809556	58.41824407	6.65726
-105.25	21.75	454.2919195	23.96160147	20.53025244	11.38598763	59.93241538	7.41239
-105.25	22.25	488.6743643	29.6992075	18.5297716	12.89693559	59.97242975	7.20428
-105.25	22.75	537.2368079	34.92733313	16.18152015	14.74438673	60.01969786	6.67066
-105.25	23.25	577.1507792	44.65406996	13.95966771	16.22529343	59.90723716	6.35092
-104.75	19.25	508.1806499	27.61995642	21.89805996	7.349566955	53.7048097	6.42093
-104.75	19.75	550.6109664	31.20051587	20.26292735	9.408626944	54.67723926	6.47353
-104.75	20.25	571.7584592	33.87217404	18.88467016	11.15100388	55.61969633	6.35411
-104.75	20.75	571.1764195	35.46020088	18.28126956	12.30510856	57.24929687	6.35213
-104.75	21.25	543.5540656	34.55892978	17.93262703	13.14725982	59.12091927	6.35551
-104.75	21.75	526.9724751	35.39929011	17.17173201	13.99655937	60.47203464	6.41775
-104.75	22.25	541.0612158	40.12956841	15.63317564	14.86103449	60.59802403	6.35305
-104.75	22.75	571.3471095	49.15516076	13.66115992	15.79227055	60.4010753	6.35
-104.25	19.25	568.8438626	35.3889933	20.29914778	9.983022186	56.10053162	6.45389
-104.25	19.75	627.8427331	43.15109254	18.1105624	11.78231204	55.83267887	6.37744
-104.25	20.25	684.7157214	48.09819233	15.99458091	13.55752088	55.73295779	6.34574
-104.25	20.75	659.2529421	49.15840317	15.4406838	14.39598251	57.59937192	6.34719
-104.25	21.25	604.5820196	47.76209312	15.1215964	15.31638989	59.83478429	6.41686
-104.25	21.75	577.7873498	47.30792277	14.35541248	16.11219823	61.11022735	6.50876
-104.25	22.25	585.6460735	55.0460468	13.16488744	16.09866234	61.0719192	6.35
-103.75	18.75	564.164927	39.80529623	21.08793556	9.681033639	57.67362852	6.28668
-103.75	19.25	614.6034857	48.14370566	18.88551846	11.92961728	57.82621682	6.3242
-103.75	19.75	666.7723658	59.19353532	16.41058976	13.66452132	57.56458343	6.35114
-103.75	20.25	712.5887592	67.04401847	14.23294106	14.92974936	57.42644009	6.29014
-103.75	20.75	694.1131725	69.58858733	13.45384869	15.72703965	58.95761966	6.28564
-103.75	21.25	639.9178275	65.91795924	13.0470334	16.29873941	60.77837971	6.36851
-103.75	21.75	599.5776844	66.2326872	12.45637588	16.87355212	61.95942648	6.42191
-103.25	18.75	589.5111586	51.67776483	20.11768752	11.53155749	59.41639285	6.50399
-103.25	19.25	627.2223521	63.47797933	17.69645919	13.72105617	59.70096736	6.42086
-103.25	19.75	678.8210886	78.4269721	15.29918187	14.78991508	59.73837297	6.40319
-103.25	20.25	705.3187275	90.85680935	13.22850407	15.40796646	59.96432793	6.34167
-103.25	20.75	688.6369313	93.25355441	12.27147062	16.0980479	61.04283209	6.49471
-103.25	21.25	626.5073784	88.11722192	11.78823828	16.71191919	62.37393176	6.67971
-102.75	18.25	584.9906914	53.09128352	21.62319049	9.483870547	59.24326085	6.55442
-102.75	18.75	600.6335234	62.74429611	19.27717428	13.76447587	61.04746869	6.75608
-102.75	19.25	631.6889146	76.47641359	16.8457513	15.53382804	61.61164963	7.06123
-102.75	19.75	680.2154661	97.87513105	14.45082576	15.70507672	61.92667506	6.91302
-102.75	20.25	704.6179772	117.7115719	12.14959597	15.74267697	62.38326979	7.30946
-102.75	20.75	668.1030442	115.6712773	11.40168119	16.29615364	63.2434809	6.61106
-102.25	18.25	609.1077467	67.82716368	20.92632152	10.90804941	60.10014515	6.80395
-102.25	18.75	622.0779403	79.2097452	18.70220856	14.48650505	62.14803226	7.02668
-102.25	19.25	648.7155168	100.1311324	16.41330698	16.29860616	63.08563915	6.73394
-102.25	19.75	670.730029	120.8559178	14.10217332	16.52869989	63.83364441	6.49306
-102.25	20.25	674.0639594	137.7033087	12.14575935	16.47411218	64.44765611	7.40602
-101.75	18.25	649.936506	84.02056421	20.1660319	12.2230675	61.08218112	6.87861
-101.75	18.75	644.7992501	100.1303533	18.22254296	15.39429843	63.13424121	7.28191
-101.75	19.25	651.5650731	120.2073038	16.00494337	16.81647634	64.50080545	6.65376
-101.75	19.75	647.4081407	139.7021299	13.87595254	17.09880687	65.39128197	6.80205
-101.25	17.75	713.4654484	91.22162421	20.97061475	10.3016818	58.70421551	6.7928
