x	y	bio.16	bio.17	bio.1	bio.2	bio.3	S_PH_H2O
-111.75	24.75	211.5359002	7.920634183	25.88566868	6.426162525	40.77890147	7.40419
-111.75	25.25	210.3022412	9.566905385	26.03131899	6.930133024	40.97963881	7.43572
-111.75	25.75	207.5084489	11.5129107	26.2579661	7.082167209	39.7920368	7.55978
-111.25	24.25	240.5882787	7.309306876	26.01926223	6.793039345	42.53289064	7.42612
-111.25	24.75	237.8003589	8.945831255	26.10399859	7.790011214	43.70722769	7.49952
-111.25	25.25	236.2637979	11.30665225	26.45869525	7.189568942	40.75121133	7.71992
-111.25	25.75	238.8260654	13.49420297	26.73052275	7.263544579	39.41962296	7.79913
-110.75	24.25	280.1696305	9.593743947	26.38826178	6.604730437	41.19078191	7.57036
-110.75	24.75	277.2343905	11.50565213	26.58198065	7.193838715	41.38009152	7.6612
-110.25	23.25	318.3763265	8.245180693	26.62100641	4.280512547	34.97452621	7.25951
-110.25	23.75	325.6651252	10.12489793	26.70916782	4.904361375	36.29105119	7.18506
-110.25	24.25	330.4662287	12.41360796	26.92976191	5.195458585	35.82440896	7.32983
-109.75	23.25	355.8521899	9.537293746	26.74383484	4.90391622	37.02967673	6.5613
-109.75	23.75	357.0843706	12.0449866	27.10173526	4.305319535	33.36609662	6.48781
-109.25	25.75	272.8119919	22.53738165	27.27588225	8.133798896	43.34868782	7.62873
-109.25	26.25	244.1071123	25.63109686	26.30851568	11.09498738	48.92720022	7.62618
-108.75	25.75	294.1960164	23.18601684	26.05781836	11.99261896	52.60735898	7.60043
-108.75	26.25	304.9245243	28.24414711	24.63043753	14.68575371	54.36378757	7.54525
-108.25	25.25	344.0388167	22.1164715	25.66268437	11.11297607	52.37281434	7.63317
-108.25	25.75	352.1291925	25.63027128	24.32648078	15.5470939	56.94068368	7.48955
-107.75	24.75	393.4969361	22.38503558	25.3112472	10.29867259	51.88772403	7.62883
-107.75	25.25	414.2085993	28.66294688	23.41269731	13.48799987	54.90964886	7.4905
-107.75	25.75	432.1631591	34.99357052	21.52431203	15.96451157	56.16082496	6.78722
-107.25	24.25	440.3579037	20.34847922	24.63318664	11.42698665	54.87004532	7.636
-107.25	24.75	461.7110585	27.18705423	22.77525317	14.13558573	56.45759558	7.30543
-107.25	25.25	486.2085422	36.38404766	20.60299908	15.40127843	56.14581416	6.55211
-106.75	23.75	467.7322251	20.83958566	24.30881779	10.22510192	54.7787982	7.58028
-106.75	24.25	492.3281195	25.92647327	22.21522729	14.47764754	58.01367717	6.80717
-106.75	24.75	511.8221059	35.05189066	20.16078275	16.60036282	58.33010123	6.37069
-106.25	23.25	488.1959486	20.92589401	23.84253713	10.24925225	55.6655491	7.35166
-106.25	23.75	519.8178504	29.15439731	21.71587309	12.88219214	57.44455679	6.54372
-106.25	24.25	550.6652535	37.80471252	19.47359526	15.15480278	58.31519817	6.35642
-105.75	22.75	508.1815188	20.25327989	23.23932774	12.10645787	58.28627582	7.56947
-105.75	23.25	542.3634014	26.94250961	21.18472698	14.17434434	58.84851332	6.5173
-105.75	23.75	568.5014117	38.18019846	18.99488516	15.03626162	58.84867376	6.35131
-105.25	19.75	541.6192004	17.44061794	26.10473256	6.678688998	51.84469433	6.42115
-105.25	20.25	563.3990509	18.51415926	25.43640348	8.41756838	53.67627506	6.41606
-105.25	20.75	556.94278	19.6098646	25.09908205	9.394000689	55.17386699	6.42663
-105.25	21.25	524.1606463	18.48663453	25.01239891	10.16861057	57.12729466	6.65726
-105.25	21.75	500.8760078	19.07066422	24.88828504	11.06119095	58.68566195	7.41239
-105.25	22.25	518.0827314	23.69420505	23.03436645	12.72649182	59.00984631	7.20428
-105.25	22.75	544.9468017	27.87150294	20.85418361	14.71948622	59.30266658	6.67066
-105.25	23.25	564.778626	36.01433585	18.78272733	16.35159897	59.46016741	6.35092
-104.75	19.25	560.5375105	21.38190994	25.83928786	6.905995591	52.12988948	6.42093
-104.75	19.75	608.7814029	24.46315834	24.33502747	8.979143875	53.13114494	6.47353
-104.75	20.25	639.0510611	27.05962035	23.11145842	10.7617977	54.09465929	6.35411
-104.75	20.75	624.5506996	28.41878792	22.64021617	11.99136232	55.66871578	6.35213
-104.75	21.25	585.5958395	27.78850178	22.38318384	12.88059049	57.56204914	6.35551
-104.75	21.75	556.8328138	28.23981947	21.72113493	13.83026671	58.94954204	6.41775
-104.75	22.25	550.5487153	32.63034637	20.31584106	14.8045676	59.34948031	6.35305
-104.75	22.75	565.0578804	40.19270214	18.43037644	15.88178015	59.32875264	6.35
-104.25	19.25	616.9276086	28.16225292	24.36913652	9.49326081	54.48363408	6.45389
-104.25	19.75	672.1837084	34.33991529	22.36950279	11.4099543	54.20478261	6.37744
-104.25	20.25	723.0857702	38.90039469	20.41916121	13.27485624	54.14266414	6.34574
-104.25	20.75	685.7210537	40.25666462	19.99745966	14.1798341	55.96484708	6.34719
