x	y	bio.16	bio.17	bio.1	bio.2	bio.3	S_PH_H2O
-111.75	24.75	342.4857205	24.18919892	23.63311125	1.271996145	16.34617919	7.40419
-111.75	25.25	336.4237612	25.45297146	23.36130401	1.480451371	17.6319502	7.43572
-111.75	25.75	330.2735855	27.09605283	23.093035	1.739696912	19.08318045	7.55978
-111.25	24.25	381.0724376	24.85095984	23.87457827	1.332776073	17.35926792	7.42612
-111.25	24.75	374.4704958	26.11023617	23.5852136	1.425220948	17.64662688	7.49952
-111.25	25.25	366.7625541	27.69721425	23.29416648	1.647937076	18.86739651	7.71992
-111.25	25.75	358.050654	29.60067101	22.99942011	1.953262322	20.43728061	7.79913
-110.75	24.25	413.5009105	26.64159552	23.79355972	1.394843357	17.88729081	7.57036
-110.75	24.75	406.1386876	28.10483694	23.49170425	1.612583343	19.15560103	7.6612
-110.25	23.25	467.8131449	25.97760235	24.28440535	1.326923283	18.43172434	7.25951
-110.25	23.75	457.2898059	26.70679763	24.00245665	1.440308973	18.91292148	7.18506
-110.25	24.25	445.5656629	28.14386608	23.68164857	1.651222767	20.08182905	7.32983
-109.75	23.25	505.5802744	27.37621789	24.18917315	1.479243112	19.83337567	6.5613
-109.75	23.75	490.5105657	28.06969971	23.89926396	1.69797884	21.13457164	6.48781
-109.25	25.75	451.203029	38.91378884	22.06570361	3.279885092	27.67304135	7.62873
-109.25	26.25	436.4456308	41.43084623	21.81215647	3.787258719	28.92021573	7.62618
-108.75	25.75	460.1733554	40.93243016	21.69889947	4.082593619	30.87323914	7.60043
-108.75	26.25	437.0888236	43.16857814	21.35033103	4.857641788	32.27796058	7.54525
-108.25	25.25	490.6384103	41.24862441	21.63658921	4.15853131	31.77717377	7.63317
-108.25	25.75	462.23063	43.10731518	21.19359907	4.941395993	33.12134897	7.48955
-107.75	24.75	528.8848048	42.1146771	21.72307401	4.083419369	32.22175675	7.62883
-107.75	25.25	494.6140778	43.64137476	21.1943432	4.946705753	33.2566934	7.4905
-107.75	25.75	461.4359592	45.0755851	20.70740883	5.908140597	34.15385708	6.78722
-107.25	24.25	572.526956	43.37563541	21.9075603	3.796634208	32.04021331	7.636
-107.25	24.75	531.7397129	44.67251639	21.34895453	4.779331664	33.52843123	7.30543
-107.25	25.25	491.8358217	45.72053383	20.79575404	5.800393618	34.52153953	6.55211
-106.75	23.75	610.5550866	44.87956787	21.99711247	3.583862382	32.33946548	7.58028
-106.75	24.25	567.1234325	45.7753332	21.46742373	4.666738366	34.36911813	6.80717
-106.75	24.75	523.1101901	47.51396567	20.94869413	5.721756663	35.38513269	6.37069
-106.25	23.25	604.749654	46.6419406	21.52552245	4.492770354	36.25535735	7.35166
-106.25	23.75	577.7651547	48.08220822	21.25808176	5.013916778	36.40891009	6.54372
-106.25	24.25	543.9349474	48.98974342	20.88055014	5.834452866	36.74116066	6.35642
-105.75	22.75	598.0858522	49.90217977	21.02008036	5.296768855	39.27128641	7.56947
-105.75	23.25	570.5649654	50.57990714	20.74132227	5.779971795	38.99542052	6.5173
-105.75	23.75	543.948526	51.20693119	20.47380307	6.361838997	38.79625832	6.35131
-105.25	19.75	758.2021995	46.14973712	23.08352515	3.411135506	38.08624154	6.42115
-105.25	20.25	725.7494336	48.45444183	22.46881561	4.011993543	39.59233487	6.41606
-105.25	20.75	693.6587368	49.77015597	21.91198776	4.627723644	40.76176981	6.42663
-105.25	21.25	659.1182699	51.80790965	21.36005902	5.088420485	41.31181268	6.65726
-105.25	21.75	626.6800835	53.14220203	20.96471761	5.488929024	41.4296357	7.41239
-105.25	22.25	593.4341521	54.21200256	20.57333005	5.967567378	41.50811496	7.20428
-105.25	22.75	561.3328864	54.85505921	20.21966571	6.480226483	41.43649262	6.67066
-105.25	23.25	530.7697546	55.18250729	19.88672557	7.026290659	41.22281648	6.35092
-104.75	19.25	777.7114886	48.51094023	23.27593444	3.275979175	37.7797185	6.42093
-104.75	19.75	738.6750925	51.67556195	22.56672346	4.027532619	40.08511471	6.47353
