"","species","lon","lat"
"1","Anodorhynchus hyacinthinus",-54.517429,-25.624582
"2","Anodorhynchus hyacinthinus",-49.360981,-6.604544
"3","Anodorhynchus hyacinthinus",-50.757384,-4.574723
"4","Anodorhynchus hyacinthinus",-50.089303,-6.490243
"5","Anodorhynchus hyacinthinus",-51.05752,-4.01325
"6","Anodorhynchus hyacinthinus",-49.360833,-6.604621
"7","Anodorhynchus hyacinthinus",-49.360442,-6.60495
"8","Anodorhynchus hyacinthinus",-56.306958,-19.9637
"9","Anodorhynchus hyacinthinus",-49.106255,-5.635779
"10","Anodorhynchus hyacinthinus",-56.306958,-19.9637
"11","Anodorhynchus hyacinthinus",-49.360833,-6.604621
"12","Anodorhynchus hyacinthinus",-51.065892,-3.92782
"13","Anodorhynchus hyacinthinus",-56.304408,-19.952643
"14","Anodorhynchus hyacinthinus",-49.858089,-6.536633
"15","Anodorhynchus hyacinthinus",-49.360833,-6.604621
"16","Anodorhynchus hyacinthinus",-50.089303,-6.490243
"17","Anodorhynchus hyacinthinus",-49.360942,-6.604597
"18","Anodorhynchus hyacinthinus",-49.940017,-7.10625
"19","Anodorhynchus hyacinthinus",-49.360942,-6.604597
"20","Anodorhynchus hyacinthinus",-56.36016,-20.32233
"21","Anodorhynchus hyacinthinus",-49.311041,-5.642724
"22","Anodorhynchus hyacinthinus",-49.360942,-6.604597
"23","Anodorhynchus hyacinthinus",-49.858089,-6.536633
"24","Anodorhynchus hyacinthinus",-50.757415,-4.57466
"25","Anodorhynchus hyacinthinus",-49.360942,-6.604597
"26","Anodorhynchus hyacinthinus",-51.043452,-4.042482
"27","Anodorhynchus hyacinthinus",-49.360942,-6.604597
"28","Anodorhynchus hyacinthinus",-56.306871,-19.963111
"29","Anodorhynchus hyacinthinus",-50.767709,-4.398304
"30","Anodorhynchus hyacinthinus",-49.360942,-6.604597
"31","Anodorhynchus hyacinthinus",-49.311041,-5.642724
"32","Anodorhynchus hyacinthinus",-49.360442,-6.60495
"33","Anodorhynchus hyacinthinus",-49.106255,-5.635779
"34","Anodorhynchus hyacinthinus",-49.220509,-11.654095
"35","Anodorhynchus hyacinthinus",-50.761111,-4.399641
"36","Anodorhynchus hyacinthinus",-50.761111,-4.399641
"37","Anodorhynchus hyacinthinus",-49.360442,-6.60495
"38","Anodorhynchus hyacinthinus",-49.360942,-6.604597
"39","Anodorhynchus hyacinthinus",-56.297184,-19.905239
"40","Anodorhynchus hyacinthinus",-56.30703,-19.963125
"41","Anodorhynchus hyacinthinus",-56.768735,-17.354311
"42","Anodorhynchus hyacinthinus",-56.30703,-19.963125
"43","Anodorhynchus hyacinthinus",-49.360942,-6.604597
"44","Anodorhynchus hyacinthinus",-56.304408,-19.952643
"45","Anodorhynchus hyacinthinus",-56.361709,-20.189229
"46","Anodorhynchus hyacinthinus",-56.304408,-19.952643
"47","Anodorhynchus hyacinthinus",-56.361709,-20.189229
"48","Anodorhynchus hyacinthinus",-49.360942,-6.604597
"49","Anodorhynchus hyacinthinus",-56.30703,-19.963125
"50","Anodorhynchus hyacinthinus",-49.855203,-6.536042
"51","Anodorhynchus hyacinthinus",-49.360942,-6.604597
"52","Anodorhynchus hyacinthinus",-49.858089,-6.536633
"53","Anodorhynchus hyacinthinus",-56.30703,-19.963125
"54","Anodorhynchus hyacinthinus",-56.304408,-19.952643
"55","Anodorhynchus hyacinthinus",-49.360942,-6.604597
"56","Anodorhynchus hyacinthinus",-56.30703,-19.963125
"57","Anodorhynchus hyacinthinus",-49.360942,-6.604597
"58","Anodorhynchus hyacinthinus",-49.360942,-6.604597
"59","Anodorhynchus hyacinthinus",-49.645237,-6.929732
"60","Anodorhynchus hyacinthinus",-49.360942,-6.604597
"61","Anodorhynchus hyacinthinus",-56.615379,-20.085772
"62","Anodorhynchus hyacinthinus",-57.038612,-19.555665
"63","Anodorhynchus hyacinthinus",-49.858089,-6.536633
"64","Anodorhynchus hyacinthinus",-56.306085,-19.950735
"65","Anodorhynchus hyacinthinus",-49.858089,-6.536633
"66","Anodorhynchus hyacinthinus",-49.360942,-6.604597
"67","Anodorhynchus hyacinthinus",-56.521941,-20.196501
"68","Anodorhynchus hyacinthinus",-56.689361,-20.598509
"69","Anodorhynchus hyacinthinus",-49.360942,-6.604597
"70","Anodorhynchus hyacinthinus",-49.850823,-6.535782
"71","Anodorhynchus hyacinthinus",-49.645237,-6.929732
