	Longitude(x)	Latitude(y)	PD	SR	PSVs	SR	vars	aMRD	aMDR	aAGES
1	-77.5	36.5	0.16939862	1	NA	1	NA	12	22.62969386	0.021950084
2	-76.5	36.5	0.16939862	1	NA	1	NA	12	22.62969386	0.021950084
3	-91.5	35.5	0.16939862	1	NA	1	NA	12	22.62969386	0.021950084
4	-90.5	35.5	0.16939862	1	NA	1	NA	12	22.62969386	0.021950084
5	-89.5	35.5	0.16939862	1	NA	1	NA	12	22.62969386	0.021950084
6	-88.5	35.5	0.16939862	1	NA	1	NA	12	22.62969386	0.021950084
7	-87.5	35.5	0.16939862	1	NA	1	NA	12	22.62969386	0.021950084
8	-86.5	35.5	0.16939862	1	NA	1	NA	12	22.62969386	0.021950084
9	-85.5	35.5	0.16939862	1	NA	1	NA	12	22.62969386	0.021950084
10	-84.5	35.5	0.16939862	1	NA	1	NA	12	22.62969386	0.021950084
11	-83.5	35.5	0.16939862	1	NA	1	NA	12	22.62969386	0.021950084
12	-82.5	35.5	0.16939862	1	NA	1	NA	12	22.62969386	0.021950084
13	-81.5	35.5	0.16939862	1	NA	1	NA	12	22.62969386	0.021950084
14	-80.5	35.5	0.16939862	1	NA	1	NA	12	22.62969386	0.021950084
15	-79.5	35.5	0.16939862	1	NA	1	NA	12	22.62969386	0.021950084
16	-78.5	35.5	0.16939862	1	NA	1	NA	12	22.62969386	0.021950084
17	-77.5	35.5	0.16939862	1	NA	1	NA	12	22.62969386	0.021950084
18	-76.5	35.5	0.16939862	1	NA	1	NA	12	22.62969386	0.021950084
19	-75.5	35.5	0.16939862	1	NA	1	NA	12	22.62969386	0.021950084
20	-96.5	34.5	0.16939862	1	NA	1	NA	12	22.62969386	0.021950084
21	-95.5	34.5	0.16939862	1	NA	1	NA	12	22.62969386	0.021950084
22	-94.5	34.5	0.16939862	1	NA	1	NA	12	22.62969386	0.021950084
23	-93.5	34.5	0.16939862	1	NA	1	NA	12	22.62969386	0.021950084
24	-92.5	34.5	0.16939862	1	NA	1	NA	12	22.62969386	0.021950084
25	-91.5	34.5	0.16939862	1	NA	1	NA	12	22.62969386	0.021950084
26	-90.5	34.5	0.16939862	1	NA	1	NA	12	22.62969386	0.021950084
27	-89.5	34.5	0.16939862	1	NA	1	NA	12	22.62969386	0.021950084
28	-88.5	34.5	0.16939862	1	NA	1	NA	12	22.62969386	0.021950084
29	-87.5	34.5	0.16939862	1	NA	1	NA	12	22.62969386	0.021950084
30	-86.5	34.5	0.16939862	1	NA	1	NA	12	22.62969386	0.021950084
31	-85.5	34.5	0.16939862	1	NA	1	NA	12	22.62969386	0.021950084
32	-84.5	34.5	0.16939862	1	NA	1	NA	12	22.62969386	0.021950084
33	-83.5	34.5	0.16939862	1	NA	1	NA	12	22.62969386	0.021950084
34	-82.5	34.5	0.16939862	1	NA	1	NA	12	22.62969386	0.021950084
35	-81.5	34.5	0.16939862	1	NA	1	NA	12	22.62969386	0.021950084
36	-80.5	34.5	0.16939862	1	NA	1	NA	12	22.62969386	0.021950084
37	-79.5	34.5	0.16939862	1	NA	1	NA	12	22.62969386	0.021950084
38	-78.5	34.5	0.16939862	1	NA	1	NA	12	22.62969386	0.021950084
39	-77.5	34.5	0.16939862	1	NA	1	NA	12	22.62969386	0.021950084
40	-76.5	34.5	0.16939862	1	NA	1	NA	12	22.62969386	0.021950084
41	-98.5	33.5	0.16939862	1	NA	1	NA	12	22.62969386	0.021950084
42	-97.5	33.5	0.16939862	1	NA	1	NA	12	22.62969386	0.021950084
43	-96.5	33.5	0.16939862	1	NA	1	NA	12	22.62969386	0.021950084
44	-95.5	33.5	0.16939862	1	NA	1	NA	12	22.62969386	0.021950084
45	-94.5	33.5	0.16939862	1	NA	1	NA	12	22.62969386	0.021950084
46	-93.5	33.5	0.16939862	1	NA	1	NA	12	22.62969386	0.021950084
47	-92.5	33.5	0.16939862	1	NA	1	NA	12	22.62969386	0.021950084
48	-91.5	33.5	0.16939862	1	NA	1	NA	12	22.62969386	0.021950084
49	-90.5	33.5	0.16939862	1	NA	1	NA	12	22.62969386	0.021950084
50	-89.5	33.5	0.16939862	1	NA	1	NA	12	22.62969386	0.021950084
51	-88.5	33.5	0.16939862	1	NA	1	NA	12	22.62969386	0.021950084
52	-87.5	33.5	0.16939862	1	NA	1	NA	12	22.62969386	0.021950084
53	-86.5	33.5	0.16939862	1	NA	1	NA	12	22.62969386	0.021950084
54	-85.5	33.5	0.16939862	1	NA	1	NA	12	22.62969386	0.021950084
55	-84.5	33.5	0.16939862	1	NA	1	NA	12	22.62969386	0.021950084
56	-83.5	33.5	0.16939862	1	NA	1	NA	12	22.62969386	0.021950084
57	-82.5	33.5	0.16939862	1	NA	1	NA	12	22.62969386	0.021950084
58	-81.5	33.5	0.16939862	1	NA	1	NA	12	22.62969386	0.021950084
59	-80.5	33.5	0.16939862	1	NA	1	NA	12	22.62969386	0.021950084
60	-79.5	33.5	0.16939862	1	NA	1	NA	12	22.62969386	0.021950084
61	-78.5	33.5	0.16939862	1	NA	1	NA	12	22.62969386	0.021950084
62	-99.5	32.5	0.16939862	1	NA	1	NA	12	22.62969386	0.021950084
63	-98.5	32.5	0.16939862	1	NA	1	NA	12	22.62969386	0.021950084
64	-97.5	32.5	0.16939862	1	NA	1	NA	12	22.62969386	0.021950084
65	-96.5	32.5	0.16939862	1	NA	1	NA	12	22.62969386	0.021950084
66	-95.5	32.5	0.16939862	1	NA	1	NA	12	22.62969386	0.021950084
67	-94.5	32.5	0.16939862	1	NA	1	NA	12	22.62969386	0.021950084
68	-93.5	32.5	0.16939862	1	NA	1	NA	12	22.62969386	0.021950084
69	-92.5	32.5	0.16939862	1	NA	1	NA	12	22.62969386	0.021950084
70	-91.5	32.5	0.16939862	1	NA	1	NA	12	22.62969386	0.021950084
71	-90.5	32.5	0.16939862	1	NA	1	NA	12	22.62969386	0.021950084
72	-89.5	32.5	0.16939862	1	NA	1	NA	12	22.62969386	0.021950084
73	-88.5	32.5	0.16939862	1	NA	1	NA	12	22.62969386	0.021950084
74	-87.5	32.5	0.16939862	1	NA	1	NA	12	22.62969386	0.021950084
75	-86.5	32.5	0.16939862	1	NA	1	NA	12	22.62969386	0.021950084
76	-85.5	32.5	0.16939862	1	NA	1	NA	12	22.62969386	0.021950084
77	-84.5	32.5	0.16939862	1	NA	1	NA	12	22.62969386	0.021950084
78	-83.5	32.5	0.16939862	1	NA	1	NA	12	22.62969386	0.021950084
79	-82.5	32.5	0.16939862	1	NA	1	NA	12	22.62969386	0.021950084
80	-81.5	32.5	0.16939862	1	NA	1	NA	12	22.62969386	0.021950084
81	-80.5	32.5	0.16939862	1	NA	1	NA	12	22.62969386	0.021950084
82	-79.5	32.5	0.16939862	1	NA	1	NA	12	22.62969386	0.021950084
83	-100.5	31.5	0.16939862	1	NA	1	NA	12	22.62969386	0.021950084
84	-99.5	31.5	0.16939862	1	NA	1	NA	12	22.62969386	0.021950084
85	-98.5	31.5	0.16939862	1	NA	1	NA	12	22.62969386	0.021950084
86	-97.5	31.5	0.16939862	1	NA	1	NA	12	22.62969386	0.021950084
87	-96.5	31.5	0.16939862	1	NA	1	NA	12	22.62969386	0.021950084
88	-95.5	31.5	0.16939862	1	NA	1	NA	12	22.62969386	0.021950084
89	-94.5	31.5	0.16939862	1	NA	1	NA	12	22.62969386	0.021950084
90	-93.5	31.5	0.16939862	1	NA	1	NA	12	22.62969386	0.021950084
91	-92.5	31.5	0.16939862	1	NA	1	NA	12	22.62969386	0.021950084
92	-91.5	31.5	0.16939862	1	NA	1	NA	12	22.62969386	0.021950084
93	-90.5	31.5	0.16939862	1	NA	1	NA	12	22.62969386	0.021950084
94	-89.5	31.5	0.16939862	1	NA	1	NA	12	22.62969386	0.021950084
95	-88.5	31.5	0.16939862	1	NA	1	NA	12	22.62969386	0.021950084
96	-87.5	31.5	0.16939862	1	NA	1	NA	12	22.62969386	0.021950084
97	-86.5	31.5	0.16939862	1	NA	1	NA	12	22.62969386	0.021950084
98	-85.5	31.5	0.16939862	1	NA	1	NA	12	22.62969386	0.021950084
99	-84.5	31.5	0.16939862	1	NA	1	NA	12	22.62969386	0.021950084
100	-83.5	31.5	0.16939862	1	NA	1	NA	12	22.62969386	0.021950084
101	-82.5	31.5	0.16939862	1	NA	1	NA	12	22.62969386	0.021950084
102	-81.5	31.5	0.16939862	1	NA	1	NA	12	22.62969386	0.021950084
103	-112.5	30.5	0.16939862	1	NA	1	NA	19	12.90772901	0.06630502
104	-111.5	30.5	0.16939862	1	NA	1	NA	19	12.90772901	0.06630502
105	-110.5	30.5	0.16939862	1	NA	1	NA	19	12.90772901	0.06630502
106	-100.5	30.5	0.16939862	1	NA	1	NA	12	22.62969386	0.021950084
107	-99.5	30.5	0.16939862	1	NA	1	NA	12	22.62969386	0.021950084
108	-98.5	30.5	0.16939862	1	NA	1	NA	12	22.62969386	0.021950084
109	-97.5	30.5	0.16939862	1	NA	1	NA	12	22.62969386	0.021950084
110	-96.5	30.5	0.16939862	1	NA	1	NA	12	22.62969386	0.021950084
111	-95.5	30.5	0.16939862	1	NA	1	NA	12	22.62969386	0.021950084
112	-94.5	30.5	0.16939862	1	NA	1	NA	12	22.62969386	0.021950084
113	-93.5	30.5	0.16939862	1	NA	1	NA	12	22.62969386	0.021950084
114	-92.5	30.5	0.16939862	1	NA	1	NA	12	22.62969386	0.021950084
115	-91.5	30.5	0.16939862	1	NA	1	NA	12	22.62969386	0.021950084
116	-90.5	30.5	0.16939862	1	NA	1	NA	12	22.62969386	0.021950084
117	-89.5	30.5	0.16939862	1	NA	1	NA	12	22.62969386	0.021950084
118	-88.5	30.5	0.16939862	1	NA	1	NA	12	22.62969386	0.021950084
119	-87.5	30.5	0.16939862	1	NA	1	NA	12	22.62969386	0.021950084
120	-86.5	30.5	0.16939862	1	NA	1	NA	12	22.62969386	0.021950084
121	-85.5	30.5	0.16939862	1	NA	1	NA	12	22.62969386	0.021950084
122	-84.5	30.5	0.16939862	1	NA	1	NA	12	22.62969386	0.021950084
