"x"	"y"	"bio.1"	"bio.2"	"bio.4"	"bio.12"	"bio.15"
-88.25	0.75	NA	NA	NA	NA	NA
-81.25	10.25	NA	NA	NA	NA	NA
-56.25	-31.75	16.93599455	10.32136597	459.7191888	1328.262776	23.31035044
-35.75	-11.75	NA	NA	NA	NA	NA
-77.25	-36.25	NA	NA	NA	NA	NA
-89.75	-44.25	NA	NA	NA	NA	NA
-69.25	-34.25	7.7728008	11.03083681	600.3256189	724.3189936	41.63114413
-48.75	8.75	NA	NA	NA	NA	NA
-77.75	8.25	24.98469428	6.319944138	42.87974475	3012.662946	83.11451007
-41.25	-51.75	NA	NA	NA	NA	NA
-87.75	-41.75	NA	NA	NA	NA	NA
-39.25	-2.75	NA	NA	NA	NA	NA
-58.75	-53.75	NA	NA	NA	NA	NA
-72.75	2.25	22.69065173	7.395447039	40.86597759	2598.753221	43.55292983
-45.25	2.75	NA	NA	NA	NA	NA
-80.75	-53.25	NA	NA	NA	NA	NA
-44.75	1.75	NA	NA	NA	NA	NA
-46.75	-33.75	NA	NA	NA	NA	NA
-48.25	-24.75	20.18455565	6.374639843	247.4732477	1449.426738	57.3325668
-50.75	-32.25	NA	NA	NA	NA	NA
-85.75	-38.75	NA	NA	NA	NA	NA
-49.75	-0.25	25.25153156	4.804900408	26.94994852	2038.435863	72.43877282
-50.25	4.25	NA	NA	NA	NA	NA
-73.75	13.25	NA	NA	NA	NA	NA
-88.75	-38.25	NA	NA	NA	NA	NA
-31.25	13.25	NA	NA	NA	NA	NA
-83.25	-54.25	NA	NA	NA	NA	NA
-69.25	-32.25	9.47693411	11.63111362	563.4587256	762.518893	64.62906436
-55.75	-25.25	22.05820594	10.74790309	335.1598429	1392.077134	60.92936313
-44.25	-4.75	27.00232906	7.00318861	153.3480411	2937.298824	99.51926058
-49.25	4.25	NA	NA	NA	NA	NA
-57.75	-17.75	26.52247158	10.20893712	183.3824473	1251.225209	86.36220917
-48.75	10.25	NA	NA	NA	NA	NA
-47.25	-2.75	24.17212479	7.80384717	69.93389415	2508.734996	81.6444271
-49.25	-44.75	NA	NA	NA	NA	NA
-66.75	-28.25	13.02900616	9.69851713	380.2972359	1532.231163	97.99818665
-61.25	10.75	NA	NA	NA	NA	NA
-34.25	-38.25	NA	NA	NA	NA	NA
-47.25	-29.75	NA	NA	NA	NA	NA
-51.75	-38.25	NA	NA	NA	NA	NA
-31.75	-42.25	NA	NA	NA	NA	NA
-50.75	13.25	NA	NA	NA	NA	NA
-84.75	-42.75	NA	NA	NA	NA	NA
-61.25	2.75	25.47047528	8.284363203	98.27899895	1502.915153	85.76231595
-61.25	-48.75	NA	NA	NA	NA	NA
-43.75	-14.75	23.26635388	8.214001881	252.1602314	638.6469529	83.49211408
