x	y	bio.16	bio.17	bio.1	bio.2	bio.3	S_PH_H2O
-111.75	24.75	125.7136718	14.26048547	21.95130649	6.723218968	42.44667242	7.40419
-111.75	25.25	120.7382075	15.51649779	22.09881393	7.24874097	41.25002773	7.43572
-111.75	25.75	120.0944749	16.54338388	22.16153107	6.660865809	37.67897687	7.55978
-111.25	24.25	144.0594581	13.98968763	22.38661992	6.009326351	41.6833619	7.42612
-111.25	24.75	140.0559649	14.52882805	22.74149902	8.418919793	43.58413555	7.49952
-111.25	25.25	137.0420884	15.99064115	22.85091236	7.906903367	40.5739917	7.71992
-111.25	25.75	136.7224296	17.28155284	22.84423625	5.0796621	31.50492289	7.79913
-110.75	24.25	164.9929672	14.56783974	22.89093866	5.769776216	38.83289972	7.57036
-110.75	24.75	160.3672458	15.52547165	23.09354919	6.443181167	38.27394728	7.6612
-110.25	23.25	199.6513575	14.22085339	23.04842603	3.952010604	35.3337244	7.25951
-110.25	23.75	193.6204204	14.93095058	23.1372776	4.648938334	35.4442648	7.18506
-110.25	24.25	187.9280096	15.74568518	23.18855018	4.802416297	34.08540551	7.32983
-109.75	23.25	219.8586202	15.19178195	23.38380934	3.723561126	33.29975051	6.5613
-109.75	23.75	213.4304042	16.12070783	23.38377043	4.065735271	32.37430704	6.48781
-109.25	25.75	269.3691738	35.75940513	22.18240478	2.990946092	26.2362241	7.62873
-109.25	26.25	283.456687	43.37366965	21.23527191	4.365842926	32.50737822	7.62618
-108.75	25.75	313.8684268	45.30795397	21.05786737	4.335766317	34.42022618	7.60043
-108.75	26.25	342.8552728	54.43150231	19.37093532	6.369267014	39.58000016	7.54525
-108.25	25.25	364.0914876	50.02749165	20.27307846	5.524652377	40.2128523	7.63317
-108.25	25.75	376.4093052	57.18095837	18.30910763	7.413839318	44.65733455	7.48955
-107.75	24.75	420.754635	51.95002386	20.66971451	5.787875573	42.11495947	7.62883
-107.75	25.25	442.1058591	62.1577863	18.32478647	8.021160483	47.33780446	7.4905
-107.75	25.75	450.1974927	72.99846079	15.26172275	10.80379577	51.57401842	6.78722
-107.25	24.25	484.0959713	51.69267013	20.41471607	6.4040883	45.67136353	7.636
-107.25	24.75	500.6495741	62.03646369	18.53651507	8.065802553	48.78613645	7.30543
-107.25	25.25	499.0986366	71.9559939	15.99800892	10.03628174	51.59349378	6.55211
-106.75	23.75	561.3146703	56.23840377	19.7818745	7.870461154	52.8671257	7.58028
-106.75	24.25	565.119843	67.99984864	17.94025158	9.656500944	55.28125694	6.80717
-106.75	24.75	547.3022078	76.22584876	15.67294879	10.55390947	54.64674492	6.37069
-106.25	23.25	610.2260438	61.66448309	19.56622061	7.101580408	51.6550902	7.35166
-106.25	23.75	618.2193444	70.38974167	17.24865801	10.84810152	57.09834553	6.54372
-106.25	24.25	607.2291394	81.68670956	15.20569875	12.6332513	58.85997853	6.35642
-105.75	22.75	627.29352	73.67034059	18.37294344	7.020563936	52.52893938	7.56947
-105.75	23.25	625.9810359	82.49830239	16.15915408	9.261587622	55.60747721	6.5173
-105.75	23.75	616.2192069	89.84881475	14.17770819	11.48595692	58.13162216	6.35131
-105.25	19.75	534.0964954	53.82381242	21.23165098	4.639020552	46.18142052	6.42115
-105.25	20.25	600.9856567	61.08240426	20.73558804	5.181266606	47.66430666	6.41606
-105.25	20.75	637.808645	66.48373542	20.52611283	5.510848651	48.9516327	6.42663
-105.25	21.25	667.741728	72.08612564	20.50210462	5.757689193	49.94832265	6.65726
-105.25	21.75	666.6846569	78.95588779	20.11792227	6.379713029	51.43020496	7.41239
-105.25	22.25	661.9733742	86.74533597	18.76563164	7.387892247	53.02900639	7.20428
-105.25	22.75	646.0828467	97.3016883	15.30910988	9.206416065	55.68171923	6.67066
-105.25	23.25	628.6711536	107.5691218	12.413105	10.86912047	57.65265125	6.35092
-104.75	19.25	533.206026	59.86628573	20.91978816	5.512992407	48.48401427	6.42093
-104.75	19.75	605.5723415	69.40489931	19.59217557	6.705663243	50.84453232	6.47353
-104.75	20.25	665.0133055	77.51952921	18.7723867	7.463543743	52.12664185	6.35411
-104.75	20.75	690.9355281	85.63914673	18.41211104	7.814754798	53.29834831	6.35213
-104.75	21.25	692.9812701	93.24450349	18.30149055	8.094609692	54.24292087	6.35551
-104.75	21.75	682.4982106	98.87834899	17.82773771	8.639773153	54.84652372	6.41775
-104.75	22.25	650.1820303	106.3326187	16.38890911	9.50921367	55.64279762	6.35305
-104.75	22.75	627.3282776	116.2850634	12.89455242	10.8667916	57.34498207	6.35
-104.25	19.25	604.0559573	85.60802045	19.49565072	7.428353442	53.28387163	6.45389
-104.25	19.75	672.996848	100.1123982	17.69226615	8.975479075	55.27773417	6.37744
-104.25	20.25	692.705559	114.4286388	16.56084597	9.830870019	56.49272678	6.34574
-104.25	20.75	693.5083697	119.636321	15.84571868	10.34524624	57.39421937	6.34719
-104.25	21.25	665.9494564	127.313069	15.4474673	10.65075485	58.07483029	6.41686
-104.25	21.75	636.4109144	130.118626	14.96060802	11.06926885	58.09742043	6.50876
-104.25	22.25	581.3766896	138.370093	13.68137217	11.59257325	58.30557603	6.35
-103.75	18.75	578.1860968	93.73542232	21.02695655	6.781841281	53.5908853	6.28668
-103.75	19.25	661.7063759	113.7689743	17.55990223	9.635162698	57.32815994	6.3242
-103.75	19.75	693.2264505	132.0571079	15.62660936	10.90228719	58.52581349	6.35114
-103.75	20.25	716.9572226	147.4226572	14.08337234	12.10250729	59.35570196	6.29014
-103.75	20.75	677.5416608	157.3400602	13.2403461	12.18449545	60.23971154	6.28564
-103.75	21.25	624.1650964	161.4889782	12.45019934	12.64091273	60.80687153	6.36851
-103.75	21.75	578.7643919	162.6939092	12.40199802	12.57015803	60.42525166	6.42191
-103.25	18.75	621.570344	126.3799788	19.7156827	8.20047648	57.52501706	6.50399
-103.25	19.25	688.1320602	151.1952039	16.63963935	10.30081461	59.77743275	6.42086
-103.25	19.75	680.7985857	176.8990475	14.26760964	11.55349533	61.05050164	6.40319
-103.25	20.25	680.5664344	189.5794531	12.48852782	12.31988383	61.79071325	6.34167
-103.25	20.75	621.3072223	203.4381975	11.36119698	12.50133992	62.24244694	6.49471
-103.25	21.25	556.3273838	199.1603615	10.5865999	12.64248573	62.31475128	6.67971
-102.75	18.25	603.7739951	133.4458349	21.10861446	7.392854879	58.35464393	6.55442
-102.75	18.75	650.891418	164.5596259	18.33806429	9.552180077	61.20428668	6.75608
-102.75	19.25	685.0379918	202.5732145	15.44180931	10.79851612	62.61960631	7.06123
-102.75	19.75	657.881028	227.5268151	12.9605397	11.66769147	63.57007014	6.91302
-102.75	20.25	616.2553639	245.6525765	11.08904564	12.16761813	64.16554125	7.30946
-102.75	20.75	556.0144349	254.054404	9.938915249	12.11517627	64.18200904	6.61106
-102.25	18.25	638.4296015	160.3104254	19.71504864	8.577743141	61.55746829	6.80395
-102.25	18.75	654.4254235	198.8189075	16.76885185	10.50270377	64.07255569	7.02668
-102.25	19.25	671.4373885	239.6667302	13.88404463	11.33138855	65.15705588	6.73394
-102.25	19.75	617.5038534	268.6037437	11.55566268	11.87774251	65.90048287	6.49306
-102.25	20.25	567.4086846	271.6148906	9.853680775	12.17606329	65.77779497	7.40602
-101.75	18.25	613.7733619	200.5900927	18.25456368	9.178690621	63.98445525	6.87861
-101.75	18.75	607.057051	245.3861608	15.18289639	10.97485705	66.91472021	7.28191
-101.75	19.25	590.4694411	288.2883971	12.43068	11.58099691	67.88510032	6.65376
-101.75	19.75	539.0453705	259.8840679	10.41825937	11.9707858	66.90400721	6.80205
-101.25	17.75	596.1417877	194.4911431	20.52480007	7.084586844	61.39186796	6.7928
-101.25	18.25	584.9357149	240.9511782	16.85730588	10.36515318	67.12086067	6.50432
-101.25	18.75	552.0425537	274.5390858	13.66601868	11.42342684	68.05964225	6.41306
-101.25	19.25	529.2950726	266.1086498	10.77414342	11.60453447	66.98642045	6.35075
-100.75	17.25	556.7427425	169.6321824	22.05976495	6.45594691	59.75849982	5.98621
-100.75	17.75	513.2912905	218.2719525	19.24433954	8.747861089	64.83449295	6.52727
-100.75	18.25	517.3326219	245.505488	15.80713017	10.47931512	66.57877704	6.43271
-100.75	18.75	466.3275195	246.9031744	12.59614879	11.26213234	66.6872436	6.34361
-100.25	17.25	467.9469127	167.5686709	20.98542517	9.072285763	66.00905996	5.99285
