x	y	bio.16	bio.17	bio.1	bio.2	bio.3	S_PH_H2O
-111.75	24.75	101.0294286	16.2131767	26.49463911	5.833193915	45.56545676	7.40419
-111.75	25.25	98.08874267	16.39296664	26.85196702	6.284891391	44.61288081	7.43572
-111.75	25.75	97.93550884	16.57349526	27.12416567	5.806476251	40.5931423	7.55978
-111.25	24.25	109.621458	15.97086341	26.9245495	5.604730931	45.82691634	7.42612
-111.25	24.75	106.1082267	16.23437648	27.43720182	7.834524051	47.79352274	7.49952
-111.25	25.25	111.7851792	16.75919324	27.71587031	7.24709508	43.97510257	7.71992
-111.25	25.75	115.2843796	17.16246231	27.82543915	4.500515804	34.12521232	7.79913
-110.75	24.25	124.3327237	16.2817238	27.51220886	5.547712108	44.11804688	7.57036
-110.75	24.75	126.120365	16.85009271	27.81352118	6.064499647	42.35349545	7.6612
-110.25	23.25	150.3784183	14.41363775	27.4905392	4.052927752	41.7762143	7.25951
-110.25	23.75	150.6124302	15.47649724	27.73115379	4.652818638	40.67987957	7.18506
-110.25	24.25	149.8422518	16.27357353	27.88834397	4.698225952	38.35260985	7.32983
-109.75	23.25	167.9497694	14.78248536	27.85639988	3.86688632	38.88588958	6.5613
-109.75	23.75	169.3128325	16.08939383	28.00486324	4.118406404	36.88883437	6.48781
-109.25	25.75	254.0062715	34.18671238	27.19459484	2.190535731	24.40831202	7.62873
-109.25	26.25	301.604483	39.60555932	26.35061932	3.612345812	33.3627114	7.62618
-108.75	25.75	327.7519896	43.70597378	26.2129545	3.479054778	34.50928482	7.60043
-108.75	26.25	380.3452338	52.01102681	24.71939984	5.640723325	41.47851257	7.54525
-108.25	25.25	370.0936903	50.84291615	25.55386703	5.183702348	43.64801374	7.63317
-108.25	25.75	403.3150483	56.89274527	23.76152984	6.941539207	47.59851045	7.48955
-107.75	24.75	404.4012172	53.99681147	25.99600121	5.722905057	46.80089975	7.62883
-107.75	25.25	462.5366489	65.11363663	23.86358248	7.965664374	51.64406856	7.4905
-107.75	25.75	494.3434303	76.97339741	21.04468654	10.79988189	55.11612194	6.78722
-107.25	24.25	446.8610434	54.917431	25.67061007	6.474904444	50.87295923	7.636
-107.25	24.75	510.4128859	66.72797977	24.03974347	8.209421885	53.66942	7.30543
-107.25	25.25	531.5510086	77.78647339	21.7414852	10.27758849	55.78469732	6.55211
-106.75	23.75	510.4755567	60.12294954	24.97977055	7.908913671	56.01860622	7.58028
-106.75	24.25	584.1860641	75.17609279	23.41668833	9.912895515	57.38415052	6.80717
-106.75	24.75	593.8461996	84.5987792	21.3434594	10.9920209	58.19880082	6.37069
-106.25	23.25	569.7021965	67.11558387	24.73275973	6.967199442	54.98654529	7.35166
-106.25	23.75	617.1621427	78.05244703	22.66561875	10.95545063	59.48836641	6.54372
-106.25	24.25	666.308023	91.87622667	20.86300549	13.06262801	60.13416664	6.35642
-105.75	22.75	593.7172807	77.5103791	23.64392882	6.593462387	55.13078642	7.56947
-105.75	23.25	633.2802023	87.86580932	21.58087492	9.257874408	58.08662151	6.5173
-105.75	23.75	661.4030817	97.13283236	19.78277456	11.83599968	60.05861729	6.35131
-105.25	19.75	534.255998	53.78195795	26.21018155	4.717541537	51.94570846	6.42115
-105.25	20.25	551.2041335	61.51740506	25.79880886	5.123980845	52.6070311	6.41606
-105.25	20.75	560.836801	68.09427194	25.65643882	5.253151221	53.06770913	6.42663
-105.25	21.25	595.0839307	74.33701347	25.72928141	5.249143613	53.19340731	6.65726
-105.25	21.75	628.479209	81.69995147	25.53545136	5.573123444	53.26056053	7.41239
-105.25	22.25	669.1102557	91.38566205	24.3624666	6.542622769	54.39977983	7.20428
-105.25	22.75	682.2968587	101.8954626	20.92347946	8.904672579	57.57574745	6.67066
-105.25	23.25	703.727983	112.9872666	18.09132353	11.12581463	59.51483477	6.35092
-104.75	19.25	524.5821313	58.23401227	25.97043404	5.63415041	54.4172462	6.42093
-104.75	19.75	553.5243718	69.59172431	24.80185222	6.838930001	55.57872343	6.47353
-104.75	20.25	569.691561	78.46916335	24.08521805	7.467414023	56.20487881	6.35411
-104.75	20.75	618.0465239	87.13596509	23.80574239	7.664747273	56.67654373	6.35213
-104.75	21.25	668.4557631	93.75819174	23.79821789	7.743621619	56.66217562	6.35551
-104.75	21.75	691.766391	100.448238	23.50382324	8.020628711	56.82939968	6.41775
-104.75	22.25	697.4136787	108.2530252	22.22637382	8.886091188	57.27584315	6.35305
-104.75	22.75	695.8727981	118.2894746	18.72264538	10.76706794	59.08062219	6.35
-104.25	19.25	540.9689112	84.95284078	24.75773503	7.568416297	57.19974074	6.45389
