Plot,SR,Comp,PSV,FDis,NBE,CE,SE,d_Y
20,1,M1,0,0,,,,0.00198255
70,1,M1,0,0,,,,1.73E-03
141,1,M1,0,0,,,,0.00391599
7,1,M10,0,0,,,,2.27E-03
51,1,M10,0,0,,,,0.00154966
110,1,M10,0,0,,,,9.33E-05
27,1,M11,0,0,,,,0.00055964
61,1,M11,0,0,,,,-0.001198
144,1,M11,0,0,,,,0.00026322
46,1,M12,0,0,,,,0.05935832
57,1,M12,0,0,,,,0.21062554
108,1,M12,0,0,,,,0.02924532
12,1,M2,0,0,,,,5.03E-05
96,1,M2,0,0,,,,1.03E-05
147,1,M2,0,0,,,,9.01E-06
11,1,M3,0,0,,,,1.76E-02
78,1,M3,0,0,,,,1.68E-02
113,1,M3,0,0,,,,0.01964271
28,1,M4,0,0,,,,0.01068175
67,1,M4,0,0,,,,7.07E-03
102,1,M4,0,0,,,,8.14E-03
47,1,M5,0,0,,,,2.49E-01
68,1,M5,0,0,,,,2.38E-01
101,1,M5,0,0,,,,2.14E-01
36,1,M6,0,0,,,,1.82E-02
87,1,M6,0,0,,,,1.80E-02
122,1,M6,0,0,,,,1.64E-02
6,1,M7,0,0,,,,1.08E-01
52,1,M7,0,0,,,,8.99E-02
135,1,M7,0,0,,,,0.06936885
22,1,M8,0,0,,,,8.19E-04
62,1,M8,0,0,,,,4.08E-04
136,1,M8,0,0,,,,1.51E-03
45,1,M9,0,0,,,,0.00208395
82,1,M9,0,0,,,,-1.48E-03
106,1,M9,0,0,,,,-1.60E-04
73,2,B1,0.03597277,1.28286269,1.69E-05,1.69E-05,0,4.01E-05
3,2,B1,0.03597277,1.28286269,0.03980305,0.02031456,0.01948849,0.01218285
126,2,B1,0.03597277,1.28286269,-0.0006665,0.0009745,-0.001641,0.00025095
42,2,B10,0.33368305,1.91817948,0.15956491,0.15383182,0.00573309,0.09342308
74,2,B10,0.33368305,1.91817948,0.07547715,0.10059548,-0.0251183,0.04328828
142,2,B10,0.33368305,1.91817948,0.15663365,0.13896754,0.0176661,0.07749503
44,2,B11,0.75721167,1.64837864,0.14364951,0.14510567,-0.0014562,0.15734495
72,2,B11,0.75721167,1.64837864,0.11366048,0.18094233,-0.0672819,0.12915322
124,2,B11,0.75721167,1.64837864,0.11810006,0.14076706,-0.022667,0.10585931
37,2,B12,0.75721167,1.89966624,0.01690039,0.01848976,-0.0015894,0.01557069
76,2,B12,0.75721167,1.89966624,0.01547819,0.01676108,-0.0012829,0.01428677
133,2,B12,0.75721167,1.89966624,0.01697163,0.0196252,-0.0026536,0.01572688
48,2,B13,1,2.62272081,0.00626165,-0.0309594,0.03722102,0.00605398
85,2,B13,1,2.62272081,0.00898195,-0.0325113,0.04149321,0.00592605
132,2,B13,1,2.62272081,0.01053493,-0.0193809,0.0299158,0.00827832
8,2,B14,1,3.10889362,0.23213163,0.17957914,0.05255249,0.14109163
94,2,B14,1,3.10889362,0.05819897,0.08012098,-0.021922,0.03757569
115,2,B14,1,3.10889362,0.06560645,0.05383974,0.01176671,0.02779335
88,2,B15,0.40835319,0.66202578,0.176758,0.14086232,0.03589568,0.15117526
138,2,B15,0.40835319,0.66202578,0.17711198,0.13364508,0.04346689,0.12388805
4,2,B16,0.43200453,1.5526581,0.18979439,0.19829223,-0.0084978,0.17259408
59,2,B16,0.43200453,1.5526581,0.14072674,0.11534263,0.02538411,0.13276562
129,2,B16,0.43200453,1.5526581,0.19808446,0.1327897,0.06529476,0.17026679
33,2,B17,0.43200453,1.16193816,0.08635388,0.07350744,0.01284644,0.061173
