x	y	bio.16	bio.17	bio.1	bio.2	bio.3	S_PH_H2O
-111.75	24.75	245.5973483	33.37075789	21.39377857	6.72210025	38.03062242	7.40419
-111.75	25.25	230.4776758	34.04767669	21.28678763	8.547893618	40.43761022	7.43572
-111.75	25.75	219.25903	35.18461888	21.18768664	10.52807254	42.35799006	7.55978
-111.25	24.25	280.9928032	35.35371381	21.49352506	5.473054621	34.84130104	7.42612
-111.25	24.75	267.7063381	36.22725494	21.35109874	7.174655632	38.49009757	7.49952
-111.25	25.25	251.1432673	37.18433659	21.20100382	9.026096518	40.63551551	7.71992
-111.25	25.75	235.1041811	38.35756387	21.0244454	10.85968345	42.14145239	7.79913
-110.75	24.25	308.7753192	38.601848	21.38524296	5.802500973	36.10016136	7.57036
-110.75	24.75	289.8956208	39.22122867	21.19840127	7.508645412	38.77350195	7.6612
-110.25	23.25	368.1922894	39.59898969	21.64944442	3.3342746	27.71654253	7.25951
-110.25	23.75	352.6079431	40.08084186	21.40626989	4.291275231	31.22559435	7.18506
-110.25	24.25	329.8240979	40.9714669	21.13434739	5.846542749	36.17723782	7.32983
-109.75	23.25	398.8232643	42.39269033	21.42101855	3.535565605	28.91536145	6.5613
-109.75	23.75	378.4658902	42.8046778	21.15437404	4.142412029	30.51558078	6.48781
-109.25	25.75	313.4397577	51.46350644	19.21577795	11.72136098	41.84468454	7.62873
-109.25	26.25	298.970461	52.78487957	19.00595377	13.31886871	42.26708538	7.62618
-108.75	25.75	330.8122269	54.90702066	18.30280298	11.25331746	41.32670668	7.60043
-108.75	26.25	312.3298882	56.34913933	17.8881513	12.43823595	41.47503565	7.54525
-108.25	25.25	365.3396243	57.79227309	17.75353316	9.968706448	41.25093863	7.63317
-108.25	25.75	344.0467473	59.01469357	17.22938204	10.84501777	41.06090406	7.48955
-107.75	24.75	399.9418832	60.6334119	17.4603123	9.456376609	42.20831307	7.62883
-107.75	25.25	375.8156378	61.71228352	16.8256369	9.964824255	41.54014096	7.4905
-107.75	25.75	352.8965689	62.53106655	16.21258857	10.46256443	40.92754431	6.78722
-107.25	24.25	435.3077891	63.63220505	17.35867877	9.660582023	44.0671798	7.636
-107.25	24.75	410.0079095	64.77470363	16.69921419	9.884153151	42.90370666	7.30543
-107.25	25.25	384.6391486	65.40714047	16.00863154	10.01920372	41.6651803	6.55211
-106.75	23.75	465.7999877	66.72464134	17.29429315	10.09925154	45.97562063	7.58028
-106.75	24.25	441.4474734	67.42798925	16.6601155	10.25737722	44.74740245	6.80717
-106.75	24.75	410.4763297	69.57749551	16.01352584	10.25538574	43.20679149	6.37069
-106.25	23.25	477.5759362	72.22575619	17.19848057	9.272479677	45.40486737	7.35166
-106.25	23.75	458.5557696	73.21001694	16.61039633	10.15269378	45.66599965	6.54372
-106.25	24.25	439.3405788	73.39407036	16.00138614	10.48465997	44.81728368	6.35642
-105.75	22.75	489.9294257	80.46127891	17.1187297	8.855908864	45.30444768	7.56947
-105.75	23.25	465.8276981	79.93805724	16.47038722	9.566018767	45.54570783	6.5173
-105.75	23.75	448.7793092	79.27050487	15.88614451	10.21963486	45.42128066	6.35131
-105.25	19.75	583.6732158	75.43305853	20.37955093	4.144159091	36.79502515	6.42115
-105.25	20.25	560.8427826	80.12707703	19.66680697	4.91627476	38.80410689	6.41606
-105.25	20.75	550.7956299	83.31390559	18.95639041	5.792761651	40.66041964	6.42663
-105.25	21.25	529.9018372	86.79034359	18.23734388	6.623216584	42.29229418	6.65726
-105.25	21.75	516.7110036	89.01269633	17.6562153	7.578300029	43.96834831	7.41239
-105.25	22.25	493.9228269	89.88390189	16.99900502	8.46993402	45.08338042	7.20428
-105.25	22.75	471.6078447	89.97004135	16.36008578	9.326512491	45.83780981	6.67066
-105.25	23.25	452.9783615	89.17286734	15.73891484	10.06423437	46.21857805	6.35092
-104.75	19.25	588.0736057	78.1243546	20.61048726	4.032780811	36.77698731	6.42093
-104.75	19.75	563.0342497	84.57029937	19.83727227	4.900769097	39.24557743	6.47353
-104.75	20.25	548.0258899	89.42067452	19.04119081	5.829694633	41.28985762	6.35411
-104.75	20.75	525.0339562	94.02889762	18.20624604	6.684493234	42.55318925	6.35213
-104.75	21.25	505.4853912	98.1402269	17.44233546	7.469400622	43.7100775	6.35551
-104.75	21.75	484.6593206	100.4475552	16.85402108	8.221240369	44.85731836	6.41775
-104.75	22.25	472.5629135	102.0211083	16.26349072	9.051853649	45.85998774	6.35305
-104.75	22.75	451.2643095	101.2728111	15.60845385	9.746008884	46.50170368	6.35
-104.25	19.25	572.5343455	86.80298866	20.32467371	4.886449634	40.24581868	6.45389
-104.25	19.75	547.6182594	94.69860727	19.46773074	5.84061255	42.31447381	6.37744
-104.25	20.25	525.5756262	101.2992339	18.49100245	6.720316702	43.42305152	6.34574
-104.25	20.75	499.8391291	107.1205462	17.48276481	7.602547405	44.21429562	6.34719
-104.25	21.25	480.9326607	110.7716092	16.74431877	8.308935347	45.07647509	6.41686
-104.25	21.75	460.4118605	114.6846584	16.19213026	8.90661935	45.85526344	6.50876
-104.25	22.25	440.9056895	115.6069379	15.59434486	9.452951911	46.54137164	6.35
-103.75	18.75	573.4048187	86.92217392	20.8893268	4.848214112	41.11540739	6.28668
-103.75	19.25	552.3041267	97.26723077	20.08869277	5.885754946	43.6747849	6.3242
-103.75	19.75	526.1852079	106.3413064	19.180231	6.808779783	45.10991779	6.35114
-103.75	20.25	500.2451066	113.9647577	18.19802975	7.723927402	46.08924998	6.29014
-103.75	20.75	479.656206	121.1156304	17.15273895	8.466860996	46.27086835	6.28564
-103.75	21.25	468.9533695	126.2693377	16.34154488	9.041674246	46.68204236	6.36851
-103.75	21.75	450.6120135	129.591673	15.70928892	9.511556618	47.10008262	6.42191
-103.25	18.75	536.6861484	94.13060132	20.82038439	6.126366757	44.96423107	6.50399
-103.25	19.25	524.1086471	105.9881666	20.0046751	7.087377053	46.42786214	6.42086
-103.25	19.75	502.8427842	117.4036943	19.06258385	7.955821059	47.29165293	6.40319
-103.25	20.25	483.488379	127.746625	18.04971868	8.621978654	47.58306601	6.34167
-103.25	20.75	477.3580518	136.4134093	17.076012	9.289579139	47.91447515	6.49471
-103.25	21.25	470.5473239	142.3999869	16.16907808	9.760482636	48.25681348	6.67971
-102.75	18.25	512.6060797	86.63714451	21.54313459	6.738660589	47.33683099	6.55442
-102.75	18.75	509.5160083	100.5569933	20.88061126	7.502337303	48.15926926	6.75608
-102.75	19.25	493.8949801	113.9480993	19.99905358	8.308390378	48.65842537	7.06123
-102.75	19.75	487.5444055	127.2371197	19.02492936	9.058148735	48.8986821	6.91302
-102.75	20.25	481.6775552	139.9301036	18.01798554	9.722417159	48.99306847	7.30946
-102.75	20.75	474.9969494	150.5594869	16.9661339	10.10697223	48.78732692	6.61106
-102.25	18.25	486.77463	89.99577274	21.71057002	8.133973282	50.41565495	6.80395
-102.25	18.75	489.1378025	104.6103449	20.97313621	8.931822583	50.73805063	7.02668
-102.25	19.25	485.5189445	119.8507719	20.05088044	9.4875994	50.43338542	6.73394
-102.25	19.75	479.4693328	134.9786948	19.02865842	10.11067965	50.1613331	6.49306
-102.25	20.25	475.3226619	141.6680341	17.93851781	10.67957329	49.97246797	7.40602
-101.75	18.25	481.8576435	91.27035828	22.03301453	9.490884024	52.43934413	6.87861
-101.75	18.75	477.1347967	107.0858142	21.16091859	10.07351655	52.46383008	7.28191
-101.75	19.25	470.0759526	116.6502447	20.12255138	10.53343323	51.64309036	6.65376
-101.75	19.75	468.4166705	121.0205439	18.97850151	10.98325247	51.01452952	6.80205
-101.25	17.75	454.2457558	74.59557154	22.5719426	9.310637364	52.07044827	6.7928
-101.25	18.25	465.2585829	88.17198943	22.27546378	10.71256162	53.08977994	6.50432
-101.25	18.75	454.7010687	95.87073372	21.1541028	10.93159151	53.104346	6.41306
-101.25	19.25	449.2270012	103.0672045	20.06356268	11.19989337	52.1244069	6.35075
-100.75	17.25	412.6911649	55.28498042	22.43769912	7.995135731	49.66582974	5.98621
-100.75	17.75	414.4794379	68.88315215	22.25011993	9.566722748	52.08365053	6.52727
-100.75	18.25	421.3799272	78.89831253	21.79736327	10.67577613	52.79382267	6.43271
-100.75	18.75	419.2139429	85.31912215	20.87408933	11.17927854	52.63725113	6.34361
-100.25	17.25	373.7359062	48.95357419	22.09917203	8.205684205	48.88875992	5.99285
-100.25	17.75	370.7809633	61.78420752	21.81565144	9.57082626	50.77496221	6.49656
-100.25	18.25	369.3793178	68.99194496	21.2484039	10.6873283	51.62825177	6.38539
-99.75	17.25	334.3834289	42.83256306	21.81461119	8.308300823	47.95675953	6.34045
-99.75	17.75	329.7278337	53.80346442	21.40216723	9.717589859	49.65104739	6.40944
-99.75	22.25	296.0892193	138.9748964	14.96297372	10.4152561	44.05959487	8.07845
-99.75	22.75	284.037114	147.7404685	14.71465682	10.36615593	43.35454959	8.0033
-99.75	23.25	271.6970378	154.3679161	14.58088079	10.37053934	42.1975355	8.0758
-99.75	23.75	269.6917868	156.4808602	14.47673156	10.56804553	41.18417408	8.48421
