x	y	bio.16	bio.17	bio.1	bio.2	bio.3	S_PH_H2O
-111.75	24.75	357.1391569	17.20284134	26.14268327	1.442692235	16.62864841	7.40419
-111.75	25.25	349.6065858	18.13881017	25.93006382	1.690358403	18.17758579	7.43572
-111.75	25.75	339.9121094	19.19072434	25.72765708	2.010436925	20.00611462	7.55978
-111.25	24.25	401.7230259	17.4618243	26.36309239	1.484016451	17.29569726	7.42612
-111.25	24.75	392.6798843	18.47777524	26.15100081	1.653622056	18.27285261	7.49952
-111.25	25.25	383.2661531	19.66755552	25.92244477	1.924579126	19.79504634	7.71992
-111.25	25.75	372.4034875	21.05267613	25.69553553	2.283179766	21.64252673	7.79913
-110.75	24.25	437.1675693	18.73277595	26.35886674	1.640741367	18.58114433	7.57036
-110.75	24.75	428.4868534	19.85567787	26.11854293	1.909577344	20.15332945	7.6612
-110.25	23.25	497.1973076	17.53234087	26.78344994	1.493502332	18.26825601	7.25951
-110.25	23.75	486.1522557	18.35095555	26.56646306	1.680667227	19.3785882	7.18506
-110.25	24.25	472.8607683	19.6637486	26.3072277	1.947773194	20.93394158	7.32983
-109.75	23.25	539.8054712	18.7122228	26.74317624	1.684130779	19.93385265	6.5613
-109.75	23.75	525.5041055	19.36134399	26.51447939	1.986939232	21.75580106	6.48781
-109.25	25.75	472.8645641	28.11120859	24.98026344	3.901999077	29.99599623	7.62873
-109.25	26.25	455.8066341	30.21566502	24.78482926	4.475753252	31.37280155	7.62618
-108.75	25.75	484.3475738	30.22415068	24.70127131	4.855515338	33.48925663	7.60043
-108.75	26.25	456.8036517	31.92504093	24.40372744	5.708111837	34.75153705	7.54525
-108.25	25.25	519.3903302	30.6925758	24.64020324	4.960123614	33.24375252	7.63317
-108.25	25.75	485.9983592	32.23810871	24.27441151	5.869004649	34.01889638	7.48955
-107.75	24.75	564.4101602	31.54574975	24.68245706	4.82749262	33.15041356	7.62883
-107.75	25.25	524.0957122	32.91368541	24.25046243	5.851185353	33.78298108	7.4905
-107.75	25.75	484.6668481	34.62858971	23.8149997	6.896561417	33.92394475	6.78722
-107.25	24.25	615.8239042	32.6951982	24.82235565	4.496548871	33.71440836	7.636
-107.25	24.75	567.7945472	33.94699492	24.35129605	5.633907408	34.46907918	7.30543
-107.25	25.25	520.3400494	35.12955012	23.86151805	6.763934796	34.53021459	6.55211
-106.75	23.75	664.338465	33.90386652	24.85251069	4.156121551	33.69042221	7.58028
-106.75	24.25	611.8211631	35.29028615	24.35378163	5.313381702	34.76368999	6.80717
-106.75	24.75	557.2858901	36.82766795	23.90180674	6.531414422	35.48890983	6.37069
-106.25	23.25	657.1010221	35.62133631	24.40840539	5.079368812	37.11231596	7.35166
-106.25	23.75	625.79104	37.0937944	24.1470356	5.641685084	37.05100542	6.54372
-106.25	24.25	585.0348424	38.32342458	23.79934109	6.546762482	37.17821834	6.35642
-105.75	22.75	646.4606474	38.38325102	23.9326727	5.901609574	39.35847382	7.56947
-105.75	23.25	619.5452513	39.63273481	23.66116434	6.406567764	39.22264396	6.5173
-105.75	23.75	588.5589635	40.72421533	23.39931038	7.032634164	39.18393349	6.35131
-105.25	19.75	802.4685261	30.728816	25.88849213	3.838057051	36.17642492	6.42115
-105.25	20.25	769.7967011	33.2726216	25.3239823	4.501127713	37.48490062	6.41606
-105.25	20.75	735.7320867	35.77854129	24.81700456	5.161900746	38.57129637	6.42663
-105.25	21.25	700.6592817	38.43452655	24.26492149	5.603254058	38.86000214	6.65726
-105.25	21.75	671.5642035	40.52798221	23.91567643	6.107219303	40.1429323	7.41239
-105.25	22.25	639.5222367	42.15638056	23.52840714	6.59243164	40.63683727	7.20428
-105.25	22.75	607.5846747	43.3961707	23.1751098	7.116903779	40.97701733	6.67066
-105.25	23.25	573.6526293	44.46189035	22.83705081	7.676582191	41.08275192	6.35092
-104.75	19.25	823.0215587	32.30280013	26.07137742	3.675250351	35.84083983	6.42093
-104.75	19.75	782.7907573	35.56581218	25.42408774	4.509925941	37.73581933	6.47353
-104.75	20.25	743.9422235	38.61781555	24.77678034	5.369945111	39.19122536	6.35411
-104.75	20.75	703.3975095	41.29265353	24.13001644	6.155688523	40.05055658	6.35213
-104.75	21.25	663.3419303	44.49965171	23.5565373	6.697685248	40.38585066	6.35551
-104.75	21.75	628.3457591	46.69622557	23.21983744	7.284567151	41.84906754	6.41775
-104.75	22.25	599.3895378	48.57521942	22.83714249	7.711666779	41.99495251	6.35305
-104.75	22.75	563.7947052	49.60608883	22.4140089	8.236900944	42.29756214	6.35
-104.25	19.25	806.188424	37.68022273	25.78442445	4.210536462	37.58498495	6.45389
-104.25	19.75	759.3927112	41.72403327	25.07315222	5.209848696	39.53337379	6.37744
-104.25	20.25	712.7698678	45.16166279	24.29560232	6.198675347	40.66053144	6.34574
-104.25	20.75	662.7710337	48.52392538	23.45413895	7.125215289	41.11561383	6.34719
-104.25	21.25	623.6254419	51.5712411	22.93565634	7.790830724	41.8497321	6.41686
-104.25	21.75	588.3244926	54.55303811	22.64476383	8.314690346	43.03979779	6.50876
-104.25	22.25	550.7789206	56.40463325	22.24649964	8.762303663	43.53974192	6.35
-103.75	18.75	826.792207	39.41372643	26.18627157	3.579951825	36.01142147	6.28668
-103.75	19.25	777.6905253	44.58430791	25.52266682	4.641653693	38.9426691	6.3242
-103.75	19.75	728.8752962	48.96356133	24.80974163	5.843602986	41.07484814	6.35114
-103.75	20.25	676.4222771	53.56451373	24.04158803	6.996175068	42.54838412	6.29014
-103.75	20.75	626.9477324	57.47701073	23.22028385	7.959971728	42.93773737	6.28564
-103.75	21.25	582.1764876	61.12960173	22.63957269	8.653050985	43.46084155	6.36851
-103.75	21.75	545.6949587	64.04050223	22.2193979	9.119031599	43.8260599	6.42191
-103.25	18.75	790.5898621	46.15840795	25.96462713	4.027966069	37.68405588	6.50399
-103.25	19.25	740.2786521	52.50590759	25.3614465	5.195782445	40.76966962	6.42086
-103.25	19.75	689.461073	58.28475236	24.6844928	6.419297689	42.94692204	6.40319
-103.25	20.25	639.4973913	63.82464016	23.94965054	7.641541763	44.39706127	6.34167
-103.25	20.75	592.1265832	68.57663294	23.2714581	8.698071575	45.19500157	6.49471
-103.25	21.25	545.0280055	72.13819269	22.61084293	9.416231263	45.37853212	6.67971
-102.75	18.25	787.2809765	47.00539278	26.28208819	3.395210955	35.06217407	6.55442
-102.75	18.75	750.4168376	54.3012226	25.82636486	4.395459591	38.2771141	6.75608
-102.75	19.25	703.6465838	61.08249202	25.25245537	5.663337151	41.3284209	7.06123
-102.75	19.75	651.8678887	67.91273019	24.63531362	7.006960532	43.65065644	6.91302
-102.75	20.25	599.4140779	74.50452044	23.99875058	8.297742951	45.27405525	7.30946
-102.75	20.75	548.4687302	80.50221973	23.29080757	9.429347812	46.34545103	6.61106
-102.25	18.25	753.0115071	54.1378663	26.16437549	3.539696054	34.89775144	6.80395
