"lon"	"lat"	"cells"	"bio.1"	"bio.2"	"bio.4"	"bio.12"	"bio.15"
-54.517429	-25.624582	9791	20.90305863	10.70247636	324.8064441	1453.981564	57.51017181
-49.360981	-6.604544	5242	24.83463322	7.921730417	130.9609611	2794.084762	89.06757464
-50.757384	-4.574723	4759	23.52439209	7.937708612	55.50499005	2939.43182	72.09486823
-50.089303	-6.490243	5120	23.63596801	8.523752189	111.1491987	2875.150599	82.15835155
-51.05752	-4.01325	4638	23.56779831	7.535557144	46.94138181	2863.730784	67.61500536
-56.306958	-19.9637	8348	25.68986578	9.863961298	215.8538191	1310.314589	87.31749281
-49.106255	-5.635779	5002	24.21992704	8.054802886	109.834501	2955.555317	84.31078301
-51.065892	-3.92782	4518	23.84163367	7.393635993	49.23070365	2788.361173	66.14508098
-49.858089	-6.536633	5241	24.34671082	8.221868546	131.2942053	2791.260178	86.6302015
-49.940017	-7.10625	5361	24.75878159	8.188621621	135.5267064	2674.626412	88.91705256
-56.36016	-20.32233	8468	25.23502757	9.896387965	226.3485339	1310.457217	86.21201954
-50.767709	-4.398304	4639	23.68698155	7.623828523	51.05151484	2910.359886	69.97983598
-49.220509	-11.654095	6442	25.32829234	8.944702555	152.9098293	1588.278274	101.195273
-56.768735	-17.354311	7747	26.54953948	10.09426924	177.2016205	1306.910229	88.50683448
-56.615379	-20.085772	8467	25.8752611	9.69496618	225.9947928	1270.836487	85.19776118
-57.038612	-19.555665	8346	26.67926007	9.538980447	215.1303878	1233.825637	85.18387513
-56.689361	-20.598509	8587	25.35064277	9.832796071	238.1173724	1270.97559	83.64344201
-55.790965	-20.477603	8469	24.49908458	10.23702928	231.8992797	1346.810969	86.83015387
-55.083947	-19.943579	8350	24.5547115	10.3484796	221.429436	1383.00812	88.73540731
-46.152764	-13.347812	6808	23.81540705	8.452692148	195.0044589	1058.27944	102.9380827
-57.11938	-19.328109	8226	26.77234544	9.61437074	205.0967473	1240.433767	86.11444633
-54.631448	-20.467707	8471	23.68638667	10.53531496	235.8095874	1394.028417	87.99957202
-49.676167	-5.844894	5001	23.81509054	8.307919136	101.6048109	2952.190441	81.68527736
-58.435206	-16.333566	7504	26.48228833	9.79283376	165.2680931	1251.911632	85.19183401
-56.008258	-9.258326	5828	23.67636551	10.1173419	120.7547531	2128.240113	76.58555632
-56.473439	-21.100436	8708	24.08730476	10.10345244	254.8028142	1312.628254	82.73672095
-56.620833	-16.378611	7507	26.281113	9.969612037	170.6045302	1325.214789	88.13995009
