"","X","Longitude.x.","Latitude.y.","PD"
"1",1,-77.5,36.5,0.16939862
"2",2,-76.5,36.5,0.16939862
"3",3,-91.5,35.5,0.16939862
"4",4,-90.5,35.5,0.16939862
"5",5,-89.5,35.5,0.16939862
"6",6,-88.5,35.5,0.16939862
"7",7,-87.5,35.5,0.16939862
"8",8,-86.5,35.5,0.16939862
"9",9,-85.5,35.5,0.16939862
"10",10,-84.5,35.5,0.16939862
"11",11,-83.5,35.5,0.16939862
"12",12,-82.5,35.5,0.16939862
"13",13,-81.5,35.5,0.16939862
"14",14,-80.5,35.5,0.16939862
"15",15,-79.5,35.5,0.16939862
"16",16,-78.5,35.5,0.16939862
"17",17,-77.5,35.5,0.16939862
"18",18,-76.5,35.5,0.16939862
"19",19,-75.5,35.5,0.16939862
"20",20,-96.5,34.5,0.16939862
"21",21,-95.5,34.5,0.16939862
"22",22,-94.5,34.5,0.16939862
"23",23,-93.5,34.5,0.16939862
"24",24,-92.5,34.5,0.16939862
"25",25,-91.5,34.5,0.16939862
"26",26,-90.5,34.5,0.16939862
"27",27,-89.5,34.5,0.16939862
"28",28,-88.5,34.5,0.16939862
"29",29,-87.5,34.5,0.16939862
"30",30,-86.5,34.5,0.16939862
"31",31,-85.5,34.5,0.16939862
"32",32,-84.5,34.5,0.16939862
"33",33,-83.5,34.5,0.16939862
"34",34,-82.5,34.5,0.16939862
"35",35,-81.5,34.5,0.16939862
"36",36,-80.5,34.5,0.16939862
"37",37,-79.5,34.5,0.16939862
"38",38,-78.5,34.5,0.16939862
"39",39,-77.5,34.5,0.16939862
"40",40,-76.5,34.5,0.16939862
"41",41,-98.5,33.5,0.16939862
"42",42,-97.5,33.5,0.16939862
"43",43,-96.5,33.5,0.16939862
"44",44,-95.5,33.5,0.16939862
"45",45,-94.5,33.5,0.16939862
"46",46,-93.5,33.5,0.16939862
"47",47,-92.5,33.5,0.16939862
"48",48,-91.5,33.5,0.16939862
"49",49,-90.5,33.5,0.16939862
"50",50,-89.5,33.5,0.16939862
