Species	Longitude	Latitude
Quercus_virginiana	-76.74844457	34.72659234
Quercus_virginiana	-76.74844457	34.72659234
Quercus_virginiana	-76.74844457	34.72659234
Quercus_virginiana	-76.74844457	34.72659234
Quercus_virginiana	-76.74844457	34.72659234
Quercus_virginiana	-76.74844457	34.72659234
Quercus_virginiana	-76.74844457	34.72659234
Quercus_virginiana	-76.74844457	34.72659234
Quercus_virginiana	-76.74844457	34.72659234
Quercus_virginiana	-76.74844457	34.72659234
Quercus_virginiana	-76.74844457	34.72659234
Quercus_virginiana	-76.74844457	34.72659234
Quercus_virginiana	-76.91716776	35.49316062
Quercus_virginiana	-76.91716776	35.49316062
Quercus_virginiana	-76.91716776	35.49316062
Quercus_virginiana	-76.91716776	35.49316062
Quercus_virginiana	-76.91716776	35.49316062
Quercus_virginiana	-76.91716776	35.49316062
Quercus_virginiana	-76.91716776	35.49316062
Quercus_virginiana	-76.91716776	35.49316062
Quercus_virginiana	-77.39727046	34.55239255
Quercus_virginiana	-77.39727046	34.55239255
Quercus_virginiana	-77.96556535	34.23637536
Quercus_virginiana	-77.96556535	34.23637536
Quercus_virginiana	-77.96556535	34.23637536
Quercus_virginiana	-77.96556535	34.23637536
Quercus_virginiana	-77.96556535	34.23637536
Quercus_virginiana	-77.96556535	34.23637536
Quercus_virginiana	-77.09354012	34.68919757
Quercus_virginiana	-77.09354012	34.68919757
Quercus_virginiana	-80.15656	32.85229
Quercus_virginiana	-80.55078576	32.60153049
Quercus_virginiana	-80.5694754	32.58514353
Quercus_virginiana	-80.57022063	32.58436007
Quercus_virginiana	-80.57097089	32.58140151
Quercus_virginiana	-80.45440176	32.55896928
Quercus_virginiana	-80.45462002	32.5584382
Quercus_virginiana	-98.73666639	29.78085637
Quercus_geminata	-81.35702066	27.18164681
Quercus_geminata	-81.35803806	27.18367732
Quercus_geminata	-81.35789146	27.18344497
Quercus_geminata	-82.73402461	30.34187769
Quercus_geminata	-82.7315693	30.33945783
Quercus_geminata	-82.73213281	30.33918617
Quercus_geminata	-82.78632903	30.33821924
Quercus_geminata	-82.77163714	30.33001645
Quercus_geminata	-82.77170495	30.33046187
Quercus_geminata	-82.68868153	30.35640151
Quercus_geminata	-82.68878178	30.3568186
Quercus_geminata	-82.68791081	30.35275145
Quercus_geminata	-82.71021866	30.33469473
Quercus_geminata	-82.73098282	30.34373252
Quercus_geminata	-82.98855191	29.20578078
Quercus_geminata	-82.99026894	29.20768943
Quercus_geminata	-82.99128022	29.20719037
Quercus_geminata	-82.99818599	29.20500596
Quercus_geminata	-83.03022791	29.15348114
Quercus_geminata	-83.02798524	29.16178518
