"x"	"y"	"id"	"bio.1"	"bio.2"	"bio.3"	"bio.4"	"bio.5"	"bio.6"	"bio.7"	"bio.8"	"bio.9"	"bio.10"	"bio.11"	"bio.12"	"bio.13"	"bio.14"	"bio.15"	"bio.16"	"bio.17"	"bio.18"	"bio.19"
-89.75	14.75	8750	22.49174462	7.325339732	58.3588254	193.5211409	29.47587481	16.92363497	12.55223984	22.58838146	23.17323968	24.38035977	19.8249976	1021.303319	201.9260765	24.4259471	67.68869327	456.6283626	125.237345	307.8673061	131.5703048
-89.25	14.75	8845	22.43615456	6.990833578	56.88957279	189.5427228	29.39038108	17.10195416	12.28842692	22.58481201	22.97797405	24.32784441	19.85398776	991.1092481	186.2672667	27.13252532	63.2867834	444.9264413	114.252623	275.4103043	156.5198794
-88.75	14.75	8940	22.26898534	7.155470877	56.46656296	192.9310924	29.560483	16.88843338	12.67204962	22.45232012	22.74767634	24.20572039	19.67022451	938.7360055	168.6333144	25.60899916	61.1269427	424.617935	100.3638223	242.089744	171.6645043
-88.25	14.75	9037	22.25955032	6.808179795	56.77617324	176.5897189	29.16733514	17.17607295	11.99126219	22.51645431	22.64072502	24.00853088	19.87249105	950.7253196	160.4401636	24.28153161	58.26912391	422.7876048	94.72711573	235.4053156	197.8052835
-87.75	14.75	9128	21.91190357	6.539243585	57.00042877	166.1517629	28.53507475	17.06280388	11.47227087	22.27857097	22.19329653	23.51874779	19.65699898	925.2192823	152.0448576	22.37157665	58.02216151	411.0546655	84.62433599	218.0470214	211.4932593
-87.25	14.75	9220	21.94711666	6.448917873	57.14805132	156.7074424	28.55809367	17.27351314	11.28458053	22.38208377	22.1397341	23.44259076	19.824058	919.9546106	148.0717559	21.50768275	57.62520346	404.8368309	80.63838178	217.5854585	216.8939394
-86.75	14.75	9307	22.24939543	6.407743555	57.16672197	145.8099171	28.98131465	17.77244464	11.20887001	22.71170842	22.35925726	23.64032195	20.2862941	945.9672017	146.7468688	21.88781282	57.02480228	408.9640929	79.95920093	236.473306	220.5706019
-86.25	14.75	9393	22.24884928	6.409145066	57.58125278	138.8586532	29.04379925	17.91318858	11.13061067	22.79127647	22.22610448	23.57656247	20.40145371	965.0747494	150.589801	22.04966912	57.27864674	414.3187417	79.14146897	250.656846	220.9576928
-85.75	14.75	9487	22.96838352	6.145646653	60.91489535	127.7375424	28.82657442	18.73766822	10.0889062	23.57785309	22.84014366	24.19237376	21.26316359	1012.731191	160.5609582	22.35181045	58.444609	436.1115451	79.21458172	269.5557912	227.849273
-85.25	14.75	9583	23.5077628	5.778832048	65.30431792	118.9467905	28.25036872	19.40128763	8.84908109	24.22264228	23.23274272	24.63404691	21.94161929	1056.272853	170.177581	21.94857791	59.80014118	457.6043425	77.27348919	285.2845346	236.1104865
-84.75	14.75	9683	24.18568431	4.962572625	64.20228169	110.2604802	28.18558739	20.4559982	7.72958919	24.97435698	23.76427086	25.20471675	22.79939266	1070.076345	175.4069302	21.15731912	61.37427749	469.7950544	74.22630871	289.2379293	236.8170529
-84.25	14.75	9783	25.02042774	3.981443355	59.93692542	102.7740036	28.38803602	21.74531398	6.64272204	25.81049636	24.52033448	25.96086107	23.79001903	1030.517923	172.4147728	18.39942117	63.79423426	464.0021374	66.27162938	272.3954136	227.8487427
-83.75	14.75	9883	25.59353643	3.046871148	54.20177809	97.71304129	28.39474915	22.77340008	5.62134907	26.41353635	24.99668184	26.45733476	24.50659277	974.6654433	166.0077165	15.87616723	66.16169187	449.5970748	57.71086593	253.8126353	213.5448673
-83.25	14.75	9974	25.80107033	1.970304205	44.09424627	93.23868446	28.03061965	23.56222667	4.46839298	26.68542052	25.06914514	26.68542052	24.89837721	877.9878737	152.9602336	13.47136649	69.13578868	418.4043001	49.08288001	418.4043001	188.5304667
-82.75	14.75	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
-82.25	14.75	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
-81.75	14.75	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
-81.25	14.75	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
-80.75	14.75	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
