"","species","lon","lat"
"1","Anodorhynchus hyacinthinus",-56.724111,-16.594513
"2","Anodorhynchus hyacinthinus",-55.898935,-20.097348
"3","Anodorhynchus hyacinthinus",-50.2276,-6.0934
"4","Anodorhynchus hyacinthinus",-56.625487,-16.492092
"5","Anodorhynchus hyacinthinus",-56.51293,-16.314122
"6","Anodorhynchus hyacinthinus",-56.582529,-17.220406
"7","Anodorhynchus hyacinthinus",-56.617203,-16.546518
"8","Anodorhynchus hyacinthinus",-56.649653,-16.484291
"9","Anodorhynchus hyacinthinus",-56.624547,-20.13702
"10","Anodorhynchus hyacinthinus",-56.661636,-16.460562
"11","Anodorhynchus hyacinthinus",-56.727337,-16.285363
"12","Anodorhynchus hyacinthinus",-56.748833,-17.281257
"13","Anodorhynchus hyacinthinus",-56.642308,-16.443549
"14","Anodorhynchus hyacinthinus",-56.681655,-16.42907
"15","Anodorhynchus hyacinthinus",-56.737314,-16.452708
"16","Anodorhynchus hyacinthinus",-56.80484,-17.11703
"17","Anodorhynchus hyacinthinus",-56.758188,-17.21041
"18","Anodorhynchus hyacinthinus",-56.797166,-17.267293
"19","Anodorhynchus hyacinthinus",-45.258934,-10.029945
"20","Anodorhynchus hyacinthinus",-56.664548,-16.256456
"21","Anodorhynchus hyacinthinus",-56.613116,-16.250917
"22","Anodorhynchus hyacinthinus",-56.9432,-17.1025
"23","Anodorhynchus hyacinthinus",-56.9432,-17.1025
"24","Anodorhynchus hyacinthinus",-56.884976,-17.383228
"25","Anodorhynchus hyacinthinus",-56.822966,-17.226466
"26","Anodorhynchus hyacinthinus",-56.656497,-17.336659
"27","Anodorhynchus hyacinthinus",-56.809569,-17.235126
"28","Anodorhynchus hyacinthinus",-56.633266,-17.262053
"29","Anodorhynchus hyacinthinus",-56.630292,-17.362371
"30","Anodorhynchus hyacinthinus",-56.770691,-17.264873
"31","Anodorhynchus hyacinthinus",-56.65723,-17.251837
"32","Anodorhynchus hyacinthinus",-56.675252,-16.471299
"33","Anodorhynchus hyacinthinus",-56.6167,-16.3834
"34","Anodorhynchus hyacinthinus",-56.830277,-16.712821
"35","Anodorhynchus hyacinthinus",-56.775153,-16.422456
"36","Anodorhynchus hyacinthinus",-56.645184,-17.213692
"37","Anodorhynchus hyacinthinus",-46.105,-13.3179
"38","Anodorhynchus hyacinthinus",-55.965729,-20.095917
"39","Anodorhynchus hyacinthinus",-55.965729,-20.095917
"40","Anodorhynchus hyacinthinus",-55.965729,-20.095917
"41","Anodorhynchus hyacinthinus",-56.36016,-20.32233
"42","Anodorhynchus hyacinthinus",-49.360942,-6.604597
"43","Anodorhynchus hyacinthinus",-49.360942,-6.604597
"44","Anodorhynchus hyacinthinus",-49.311041,-5.642724
"45","Anodorhynchus hyacinthinus",-50.089303,-6.490243
"46","Anodorhynchus hyacinthinus",-51.065892,-3.92782
"47","Anodorhynchus hyacinthinus",-56.304408,-19.952643
"48","Anodorhynchus hyacinthinus",-49.360981,-6.604544
"49","Anodorhynchus hyacinthinus",-56.306871,-19.963111
"50","Anodorhynchus hyacinthinus",-50.767709,-4.398304
"51","Anodorhynchus hyacinthinus",-49.360942,-6.604597
"52","Anodorhynchus hyacinthinus",-49.360442,-6.60495
"53","Anodorhynchus hyacinthinus",-49.220509,-11.654095
"54","Anodorhynchus hyacinthinus",-49.858089,-6.536633
"55","Anodorhynchus hyacinthinus",-49.311041,-5.642724
"56","Anodorhynchus hyacinthinus",-49.360942,-6.604597
"57","Anodorhynchus hyacinthinus",-49.106255,-5.635779
"58","Anodorhynchus hyacinthinus",-56.306958,-19.9637
"59","Anodorhynchus hyacinthinus",-50.761111,-4.399641
"60","Anodorhynchus hyacinthinus",-49.360942,-6.604597
"61","Anodorhynchus hyacinthinus",-51.043452,-4.042482
"62","Anodorhynchus hyacinthinus",-50.757384,-4.574723
"63","Anodorhynchus hyacinthinus",-50.761111,-4.399641
"64","Anodorhynchus hyacinthinus",-56.306958,-19.9637
"65","Anodorhynchus hyacinthinus",-50.757415,-4.57466
"66","Anodorhynchus hyacinthinus",-50.089303,-6.490243
"67","Anodorhynchus hyacinthinus",-49.360833,-6.604621
"68","Anodorhynchus hyacinthinus",-49.360442,-6.60495
"69","Anodorhynchus hyacinthinus",-49.360833,-6.604621
"70","Anodorhynchus hyacinthinus",-49.360942,-6.604597
"71","Anodorhynchus hyacinthinus",-49.106255,-5.635779
"72","Anodorhynchus hyacinthinus",-49.858089,-6.536633
"73","Anodorhynchus hyacinthinus",-49.940017,-7.10625
"74","Anodorhynchus hyacinthinus",-51.05752,-4.01325
"75","Anodorhynchus hyacinthinus",-49.360942,-6.604597
"76","Anodorhynchus hyacinthinus",-56.297184,-19.905239
"77","Anodorhynchus hyacinthinus",-49.360442,-6.60495
"78","Anodorhynchus hyacinthinus",-49.360833,-6.604621
"79","Anodorhynchus hyacinthinus",-56.361709,-20.189229
"80","Anodorhynchus hyacinthinus",-49.645237,-6.929732
"81","Anodorhynchus hyacinthinus",-49.360942,-6.604597
"82","Anodorhynchus hyacinthinus",-56.30703,-19.963125
"83","Anodorhynchus hyacinthinus",-56.30703,-19.963125
"84","Anodorhynchus hyacinthinus",-49.360942,-6.604597
"85","Anodorhynchus hyacinthinus",-49.360942,-6.604597
"86","Anodorhynchus hyacinthinus",-56.768735,-17.354311
"87","Anodorhynchus hyacinthinus",-49.855203,-6.536042
"88","Anodorhynchus hyacinthinus",-56.361709,-20.189229
"89","Anodorhynchus hyacinthinus",-56.30703,-19.963125
"90","Anodorhynchus hyacinthinus",-56.304408,-19.952643
"91","Anodorhynchus hyacinthinus",-49.360942,-6.604597
"92","Anodorhynchus hyacinthinus",-49.858089,-6.536633
