x	y	bio.16	bio.17	bio.1	bio.2	bio.3	S_PH_H2O
-111.75	24.75	165.6446155	21.88395191	24.60014127	5.606269746	43.72764576	7.40419
-111.75	25.25	159.5419103	23.42524564	24.84798362	6.051069203	43.16222606	7.43572
-111.75	25.75	159.2840772	26.9835255	25.04346395	5.586157592	39.63645507	7.55978
-111.25	24.25	190.6332044	25.3259596	24.99383198	5.352435487	43.62107944	7.42612
-111.25	24.75	185.4559989	28.52627851	25.37828461	7.539412035	46.69817918	7.49952
-111.25	25.25	181.8943986	31.08328703	25.56940704	6.980106116	43.61582971	7.71992
-111.25	25.75	180.1427155	31.80969812	25.676087	4.308284434	33.03379026	7.79913
-110.75	24.25	213.8902223	31.30588758	25.48154152	5.29620276	42.51440478	7.57036
-110.75	24.75	209.1899797	32.13193657	25.70526767	5.813147793	41.84988274	7.6612
-110.25	23.25	256.1469692	31.20125294	25.51851218	3.84168584	39.99009285	7.25951
-110.25	23.75	247.833591	32.23017764	25.67359773	4.424279115	39.98829678	7.18506
-110.25	24.25	240.4738128	33.15433179	25.76423993	4.477046817	37.72296062	7.32983
-109.75	23.25	275.7096982	32.61340755	25.84682657	3.679420964	38.33493951	6.5613
-109.75	23.75	269.0265959	34.02434774	25.91026908	3.920286303	36.44346512	6.48781
-109.25	25.75	311.5371595	59.92844559	25.06252336	1.91280262	21.81527937	7.62873
-109.25	26.25	315.4957016	68.2343137	24.32929099	3.043098583	29.31610139	7.62618
-108.75	25.75	351.03483	72.7743601	24.08044021	3.048332039	31.16656805	7.60043
-108.75	26.25	396.7492932	83.8205752	22.65770133	4.926519703	38.49512747	7.54525
-108.25	25.25	398.1073908	80.33777867	23.32142016	4.783055668	42.34962411	7.63317
-108.25	25.75	426.5790067	89.62705973	21.55931857	6.404274707	45.88874413	7.48955
-107.75	24.75	457.8615631	83.93319443	23.68848241	5.348957349	45.87201384	7.62883
-107.75	25.25	510.8428214	96.51313692	21.56649798	7.405432026	50.36145371	7.4905
-107.75	25.75	520.736608	110.1663258	18.75533262	10.08821574	53.67579753	6.78722
-107.25	24.25	518.9748422	85.2042934	23.36748006	6.089849925	50.0356452	7.636
-107.25	24.75	565.3317296	98.44672987	21.70308937	7.670774173	52.59616843	7.30543
-107.25	25.25	564.9392926	110.7953707	19.39182996	9.610307787	54.28858013	6.55211
-106.75	23.75	601.0258059	93.17833542	22.68871383	7.436547575	55.66609534	7.58028
-106.75	24.25	640.5532951	107.3862757	21.0706776	9.236860447	57.05973085	6.80717
-106.75	24.75	635.1468122	117.5048553	18.99693547	10.20148481	57.27765302	6.37069
-106.25	23.25	663.7378833	102.5651994	22.44375102	6.452149484	54.67573622	7.35166
-106.25	23.75	704.1797514	113.7826508	20.32000077	10.26273765	59.0392871	6.54372
-106.25	24.25	712.210563	125.7290013	18.481744	12.16031727	59.91949532	6.35642
-105.75	22.75	699.6150707	120.4275831	21.34610839	6.034211056	54.96709607	7.56947
-105.75	23.25	715.2351001	130.0633089	19.26175963	8.505234948	58.1592449	6.5173
-105.75	23.75	722.9532164	138.4334196	17.41571628	10.92378202	59.95540312	6.35131
-105.25	19.75	568.1808886	94.82728908	23.84119595	4.345201885	50.68053613	6.42115
-105.25	20.25	608.727731	106.4498817	23.41285809	4.706864107	51.40558742	6.41606
-105.25	20.75	669.4099276	115.4748296	23.25816643	4.821929978	52.25635135	6.42663
-105.25	21.25	729.0338493	123.4907453	23.32825349	4.803325698	52.47009018	6.65726
-105.25	21.75	749.9994078	131.0101936	23.13287845	5.082864075	52.89316909	7.41239
-105.25	22.25	777.7751309	140.0361495	21.95545444	5.943257165	54.34281431	7.20428
-105.25	22.75	767.6787992	151.1933999	18.54454764	8.132035253	57.82265942	6.67066
-105.25	23.25	761.345708	160.7962687	15.71997749	10.13783532	59.99016666	6.35092
-104.75	19.25	566.1002413	102.1908332	23.55567996	5.247784159	52.9947089	6.42093
-104.75	19.75	617.1437353	120.0493433	22.33421236	6.342110591	54.43109576	6.47353
-104.75	20.25	708.3337023	133.1845767	21.59551022	6.919368442	55.15455423	6.35411
-104.75	20.75	768.7874868	144.4108195	21.30422948	7.076076053	55.89827143	6.35213
-104.75	21.25	800.7701515	152.056495	21.29440101	7.11946234	56.24242846	6.35551
-104.75	21.75	812.1544685	158.0582797	21.00686224	7.364256584	56.45253175	6.41775
-104.75	22.25	790.6510089	164.0278246	19.73376006	8.136571891	57.22475746	6.35305
-104.75	22.75	769.555946	173.2858476	16.26487201	9.856782048	59.27642297	6.35
-104.25	19.25	629.2842479	140.3795866	22.25772185	7.04162028	56.70365371	6.45389
-104.25	19.75	740.3879004	164.9445627	20.58965773	8.512601544	57.82190433	6.37744
-104.25	20.25	814.5128276	182.2789012	19.56269065	9.279980732	58.43519666	6.34574
-104.25	20.75	840.4364062	187.2946337	18.91980271	9.595210138	59.00119638	6.34719
-104.25	21.25	837.7922924	190.2549597	18.60349795	9.729099733	59.4766914	6.41686
-104.25	21.75	806.6081095	190.7928613	18.20357138	10.00393915	59.46701975	6.50876
-104.25	22.25	757.9802748	194.5582373	17.01462885	10.50162067	59.56278289	6.35
-103.75	18.75	598.5458815	148.7344974	23.7356517	6.418070095	57.71423943	6.28668
-103.75	19.25	727.1342312	180.4983227	20.43618242	9.162413947	59.92232891	6.3242
-103.75	19.75	818.134324	196.3832746	18.6534859	10.36951723	60.30296451	6.35114
-103.75	20.25	895.2314607	191.7276733	17.25526874	11.51173343	60.33617921	6.29014
-103.75	20.75	886.7422294	194.468822	16.4427564	11.452536	60.88917529	6.28564
-103.75	21.25	845.6397334	196.7163275	15.69468475	11.82362124	61.38663995	6.36851
-103.75	21.75	791.0987921	204.8871407	15.66948691	11.68543301	60.78281873	6.42191
-103.25	18.75	681.5367784	175.4132863	22.51282461	7.739928339	60.87569294	6.50399
-103.25	19.25	796.5970399	183.2371603	19.60833625	9.769701933	61.91892934	6.42086
-103.25	19.75	866.4874928	185.8526965	17.38649651	10.9712896	62.1360839	6.40319
-103.25	20.25	892.5552633	186.9345119	15.70398079	11.72473696	62.12976779	6.34167
-103.25	20.75	860.0921094	187.6257054	14.60557082	11.85254777	62.07545419	6.49471
-103.25	21.25	787.1207696	190.4560034	13.84128712	11.89505181	61.83231072	6.67971
-102.75	18.25	643.557915	154.9516242	23.78159572	6.954540202	62.84242089	6.55442
-102.75	18.75	756.8582624	161.6091457	21.21426767	9.020825222	64.0988992	6.75608
-102.75	19.25	851.3954699	172.1565222	18.50227089	10.20618708	64.08191523	7.06123
-102.75	19.75	894.0484893	177.110721	16.14202861	11.0376305	64.02232676	6.91302
-102.75	20.25	870.1671261	179.6770853	14.33151434	11.55950546	63.81862603	7.30946
-102.75	20.75	814.0148032	182.0897091	13.19451257	11.42432158	62.91292555	6.61106
-102.25	18.25	701.8221727	143.4480989	22.47268321	8.11846383	65.20197194	6.80395
-102.25	18.75	790.3948057	151.0978482	19.72922415	9.965428753	65.86039428	7.02668
-102.25	19.25	872.9142097	162.198628	17.01085341	10.73645747	66.0956095	6.73394
-102.25	19.75	877.4655723	167.7807858	14.76410545	11.22836833	65.49888801	6.49306
-102.25	20.25	841.1603804	170.8764622	13.08641649	11.50494291	64.65103757	7.40602
-101.75	18.25	727.7079773	134.5027404	21.13383537	8.711089138	66.69438216	6.87861
-101.75	18.75	787.7232651	142.1034661	18.26209409	10.4446632	67.45636126	7.28191
-101.75	19.25	829.7907369	150.9294779	15.61676589	11.00126685	67.79419843	6.65376
-101.75	19.75	814.9845394	156.8187992	13.64575143	11.27567321	66.59761818	6.80205
-101.25	17.75	710.8228538	120.0305743	23.22880193	6.63719053	66.05659886	6.7928
-101.25	18.25	744.0931744	124.3641549	19.84853594	9.901588431	67.98654589	6.50432
-101.25	18.75	775.9735882	133.189216	16.82860775	10.91038538	68.37114808	6.41306
-101.25	19.25	785.4501288	143.8769904	14.04184483	11.04136402	67.33909531	6.35075
-100.75	17.25	679.6912453	99.63731423	24.47736921	6.036522292	66.05553207	5.98621
-100.75	17.75	688.6752303	106.619191	21.93985139	8.258910602	69.04790267	6.52727
-100.75	18.25	718.9554391	114.2973524	18.80171427	9.972381565	68.60783809	6.43271
-100.75	18.75	711.1267116	125.1709497	15.79516277	10.6727477	67.81764352	6.34361
-100.25	17.25	671.2733307	83.28614522	23.33055812	8.563369753	72.51314923	5.99285
-100.25	17.75	667.4738092	92.46874484	20.72753742	10.05766677	70.93675095	6.49656
-100.25	18.25	648.5858507	103.6612882	18.09648653	10.0084562	68.17867326	6.38539
-99.75	17.25	628.8126756	70.39640882	22.20534665	9.699386968	72.4541636	6.34045
-99.75	17.75	602.824753	81.38925033	19.60799461	10.79835475	70.76216577	6.40944
-99.75	22.25	400.0040193	241.3741325	15.05177107	8.700573213	45.59656327	8.07845
-99.75	22.75	374.7880078	223.4311073	15.73190649	8.074981125	42.64680028	8.0033
-99.75	23.25	357.7341874	209.9130575	15.96550264	7.90854541	41.0136088	8.0758
-99.75	23.75	346.8895743	189.2355822	15.56648438	8.531599994	41.61548177	8.48421
-99.25	16.75	572.2173539	50.49241377	24.1789409	7.04765428	66.90294647	5.78645
-99.25	17.25	546.6595962	62.33456754	21.15533289	9.500089266	69.33678976	6.44802
-99.25	17.75	513.002294	75.99745531	18.77148177	10.51224214	67.49977958	6.64713
-99.25	21.75	409.7005423	261.3823637	16.64340802	9.502022022	46.28887469	7.80589
-99.25	22.25	377.2358331	245.4915943	17.00725568	9.113836677	44.55994789	8.00627
-99.25	22.75	357.985657	227.3091414	17.65691667	8.413943635	41.84369541	8.01522
-99.25	23.25	337.5215455	198.8585983	17.86725563	8.242896264	40.3357696	8.07534
-99.25	23.75	334.4059871	183.458021	17.72487426	8.670283192	39.9981525	8.263
-99.25	24.25	323.6000396	161.9843739	17.80566158	9.169192946	39.51968292	8.12568
-98.75	16.75	519.9694223	44.62582853	23.46544047	7.588974594	66.7554194	5.90406
-98.75	17.25	471.339132	62.26573236	19.82151125	9.515819763	67.26138636	6.42315
-98.75	20.75	451.7099711	303.3068268	15.5723011	9.126509082	47.57954055	6.24216
-98.75	21.25	423.4761546	277.9949873	18.31980699	9.595286723	45.86232991	7.33843
-98.75	21.75	383.8614605	260.3873772	18.6971509	9.412153679	44.84034252	8.0603
-98.75	22.25	352.9546662	236.2935601	18.97225226	9.242527742	43.59202024	8.08977
-98.75	22.75	330.1035927	215.1762432	19.76014308	8.191264049	40.34807809	8.09053
-98.75	23.25	318.5448963	192.3123732	20.17093584	7.841684494	38.31197504	7.85147
-98.75	23.75	312.1516661	175.1970133	19.69487726	8.447268467	38.49467727	8.13211
-98.75	24.25	304.887147	154.1298628	19.62604502	8.85123692	37.98376323	8.22312
-98.75	24.75	296.5989556	140.9221712	20.09089049	8.784832906	36.27689992	7.99999
-98.75	25.25	283.1214834	125.8712447	20.58301519	8.758124455	34.92518276	7.97938
-98.25	16.25	546.2385927	30.80720263	24.40072749	6.044351189	61.10926884	5.58352
-98.25	16.75	482.903699	49.29265419	21.87472606	8.000811144	64.42181365	6.29954
-98.25	17.25	448.3264802	74.33999668	18.60636061	9.156172872	63.91948543	6.42534
-98.25	20.25	451.5992199	313.9149445	14.59607959	8.197593796	47.68273733	6.4383
-98.25	20.75	431.2087159	288.7760185	17.29833893	8.255601988	45.01011258	7.32755
-98.25	21.25	385.7496397	258.1881724	19.58929548	8.345297729	43.2677328	7.99466
-98.25	21.75	346.7337328	242.1007281	20.48312843	8.278858227	42.10363255	8.10922
-98.25	22.25	303.5089536	221.2688629	20.80346381	7.928819815	40.57174181	8.11
-98.25	22.75	285.8977241	201.1941489	21.26683986	7.390591883	38.22045172	8.02156
-98.25	23.25	277.2770094	183.3070763	21.53091221	7.119344708	36.36259034	7.61935
-98.25	23.75	273.0718432	165.1670613	21.33290823	7.359496746	35.77976878	7.65161
-98.25	24.25	270.4543866	147.3088172	21.23626075	7.541230599	35.12154269	7.69609
-98.25	24.75	264.8727489	133.9457952	21.34807158	7.539742715	34.02701199	8.10171
-98.25	25.25	253.87174	118.0304727	21.51310582	7.596510988	33.21157135	7.97787
-97.75	16.25	521.895832	34.94619115	23.57623212	7.075359773	61.2819078	6.2717
-97.75	16.75	460.4468254	63.03726857	20.79461608	8.654901663	61.48321048	6.50625
-97.75	19.75	483.0355968	326.027859	14.39433079	7.586781305	47.98084821	6.43883
-97.75	20.25	504.7224107	299.2965949	16.33174078	7.173862479	44.48116017	7.48036
-97.75	20.75	463.7874502	272.9789775	19.11545048	6.931128043	41.4857999	8.0877
-97.75	21.25	405.4168303	245.9406733	21.47166936	6.809771626	39.4945475	8.10121
-97.75	21.75	360.037085	225.9321704	22.06621138	6.598580042	38.22747726	8.11
-97.75	23.75	267.3611811	154.5810808	22.4471864	5.823502226	32.12613886	8.09371
-97.75	24.25	256.4289381	138.4379675	22.31585626	5.898772606	31.46266521	8.09463
-97.75	24.75	244.7359142	124.4425364	22.2257923	5.938535823	30.92255875	8.11
-97.75	25.25	233.8888107	113.4857699	22.1729581	6.057424617	30.58295721	8.11
-97.75	25.75	223.480646	105.443273	22.15261162	6.328358773	30.63467868	8.08905
-97.25	16.25	533.1151684	51.23917691	23.02803565	7.379892408	59.05366718	6.49536
-97.25	16.75	481.6983389	99.00776796	20.27550863	8.649765154	59.00441156	6.47701
-97.25	18.75	449.8067441	338.6043306	14.66046716	6.853031551	48.37473373	6.55752
-97.25	19.25	493.8793676	368.9074641	15.28727775	6.751221845	46.90984352	6.63477
-97.25	19.75	527.2518731	335.9931912	16.65718995	6.244829117	43.79908194	6.75038
-97.25	20.25	539.1765385	307.5087038	18.47909883	5.716308114	40.25608134	8.03485
-97.25	20.75	487.3259768	269.5565182	20.81729243	5.332303713	36.88816946	8.10996
-97.25	25.75	235.2560742	97.58604379	22.55652618	4.696195324	27.08673162	7.99479
-96.75	15.75	625.216712	36.16098333	24.45722241	4.86356836	52.44350061	6.55903
-96.75	16.25	556.5010731	71.73316638	22.6761084	7.039385463	56.06681929	6.46842
-96.75	16.75	498.5340561	143.4587392	20.36187644	7.910263392	56.29098743	6.31797
-96.75	18.25	472.3606117	304.6799044	16.50446085	6.429097483	47.91355836	6.21617
-96.75	18.75	514.1273154	324.2358993	17.34502611	5.942804282	45.55112209	6.15897
-96.75	19.25	536.731748	322.6750503	18.48308138	5.318889347	42.62305984	5.91883
-96.75	19.75	547.8274095	315.7537172	19.53605701	4.728166659	39.0807657	6.74418
-96.75	20.25	548.0057414	294.0434344	20.689416	4.183955737	35.27706938	8.10813
-96.25	15.75	645.6063951	42.00423888	24.43442537	4.754093107	51.19977497	6.54617
-96.25	16.25	579.7095892	80.6492408	22.96387065	7.227962859	54.6676034	6.4186
-96.25	16.75	526.058065	167.96454	21.02050466	8.013837543	55.05619578	6.44107
-96.25	17.75	491.1260789	272.4063456	18.30526468	6.249355333	47.71497829	6.14196
-96.25	18.25	544.8092389	291.5754339	18.93037976	6.012604474	46.13847431	6.15009
-96.25	18.75	557.1400617	289.6210971	20.00756938	5.02920561	42.46992343	6.0251
-96.25	19.25	559.7502692	276.9251845	21.55815025	3.831867217	37.11908965	6.00943
-95.75	16.25	585.6774707	93.01464713	23.30043598	6.975257083	54.26269574	5.96923
-95.75	16.75	523.3410219	173.696663	21.90463526	7.793110617	54.06993185	6.46755
-95.75	17.25	499.9855709	227.1170465	20.73670073	7.234359077	51.3684758	5.98053
-95.75	17.75	508.1624538	244.7160154	20.55277779	6.323454433	47.6666303	6.16795
-95.75	18.25	540.205662	252.3070118	21.15317973	5.360310578	43.52499276	6.81333
-95.75	18.75	556.0927895	243.5866564	22.05082073	4.149622473	38.42103534	6.83177
-95.25	16.25	586.7593298	95.19153174	23.47425882	7.388670358	54.88101319	6.75198
-95.25	16.75	532.5215348	162.4739027	22.62385044	8.424737613	55.34629266	6.53131
-95.25	17.25	477.3772791	203.6736844	22.12744776	7.998983363	52.30171108	6.21946
-95.25	17.75	508.4063137	212.972293	22.28821094	6.674695059	48.39934466	6.04237
-95.25	18.25	533.1388876	206.0029036	22.95590649	5.016172998	41.86766692	6.28684
-94.75	16.75	496.1319623	163.0261899	22.87694794	8.615970895	56.25046827	6.69053
-94.75	17.25	488.2796767	194.6521269	22.96331748	8.158642022	53.06982914	6.07977
-94.75	17.75	508.1352456	192.7983155	23.49821463	6.655837536	48.35141448	5.87141
-94.75	18.25	525.2550679	182.0456122	24.30054303	4.689180783	40.48901235	5.49942
-94.25	16.25	516.2388043	117.045037	22.84658951	7.168818383	56.60805069	7.16501
-94.25	16.75	485.983831	187.0985775	22.66315046	8.325952289	56.78397021	6.38575
-94.25	17.25	509.2715124	192.0238364	23.14119833	7.934277841	53.93230124	5.97901
-94.25	17.75	520.5842894	183.6899804	23.97159938	6.349343958	47.84843469	6.51045
-93.75	16.25	487.3689897	134.0047366	21.89339466	7.466636707	56.82450816	6.72402
-93.75	16.75	489.4386351	189.0370361	21.89872335	8.476649151	56.48732156	6.45551
-93.75	17.25	522.4575962	189.9379979	22.94742842	7.969619701	52.86713421	5.32406
-93.75	17.75	523.2305922	176.0405506	24.15159365	6.447263443	47.36102153	6.40232
