"x"	"y"	"bio.1"	"bio.2"	"bio.4"	"bio.12"	"bio.15"
-89.75	14.75	22.49174462	7.325339732	193.5211409	1021.303319	67.68869327
-89.25	14.75	22.43615456	6.990833578	189.5427228	991.1092481	63.2867834
-88.75	14.75	22.26898534	7.155470877	192.9310924	938.7360055	61.1269427
-88.25	14.75	22.25955032	6.808179795	176.5897189	950.7253196	58.26912391
-87.75	14.75	21.91190357	6.539243585	166.1517629	925.2192823	58.02216151
-87.25	14.75	21.94711666	6.448917873	156.7074424	919.9546106	57.62520346
-86.75	14.75	22.24939543	6.407743555	145.8099171	945.9672017	57.02480228
-86.25	14.75	22.24884928	6.409145066	138.8586532	965.0747494	57.27864674
-85.75	14.75	22.96838352	6.145646653	127.7375424	1012.731191	58.444609
-85.25	14.75	23.5077628	5.778832048	118.9467905	1056.272853	59.80014118
-84.75	14.75	24.18568431	4.962572625	110.2604802	1070.076345	61.37427749
-84.25	14.75	25.02042774	3.981443355	102.7740036	1030.517923	63.79423426
-83.75	14.75	25.59353643	3.046871148	97.71304129	974.6654433	66.16169187
-83.25	14.75	25.80107033	1.970304205	93.23868446	877.9878737	69.13578868
-82.75	14.75	NA	NA	NA	NA	NA
-82.25	14.75	NA	NA	NA	NA	NA
-81.75	14.75	NA	NA	NA	NA	NA
-81.25	14.75	NA	NA	NA	NA	NA
-80.75	14.75	NA	NA	NA	NA	NA
-80.25	14.75	NA	NA	NA	NA	NA
-79.75	14.75	NA	NA	NA	NA	NA
-79.25	14.75	NA	NA	NA	NA	NA
-78.75	14.75	NA	NA	NA	NA	NA
-78.25	14.75	NA	NA	NA	NA	NA
-77.75	14.75	NA	NA	NA	NA	NA
-77.25	14.75	NA	NA	NA	NA	NA
-76.75	14.75	NA	NA	NA	NA	NA
-76.25	14.75	NA	NA	NA	NA	NA
-75.75	14.75	NA	NA	NA	NA	NA
-75.25	14.75	NA	NA	NA	NA	NA
-74.75	14.75	NA	NA	NA	NA	NA
-74.25	14.75	NA	NA	NA	NA	NA
-73.75	14.75	NA	NA	NA	NA	NA
-73.25	14.75	NA	NA	NA	NA	NA
-72.75	14.75	NA	NA	NA	NA	NA
-72.25	14.75	NA	NA	NA	NA	NA
-71.75	14.75	NA	NA	NA	NA	NA
-71.25	14.75	NA	NA	NA	NA	NA
-70.75	14.75	NA	NA	NA	NA	NA
-70.25	14.75	NA	NA	NA	NA	NA
-69.75	14.75	NA	NA	NA	NA	NA
-69.25	14.75	NA	NA	NA	NA	NA
-68.75	14.75	NA	NA	NA	NA	NA
-68.25	14.75	NA	NA	NA	NA	NA
-67.75	14.75	NA	NA	NA	NA	NA
-67.25	14.75	NA	NA	NA	NA	NA
-66.75	14.75	NA	NA	NA	NA	NA
-66.25	14.75	NA	NA	NA	NA	NA
-65.75	14.75	NA	NA	NA	NA	NA
-65.25	14.75	NA	NA	NA	NA	NA
-64.75	14.75	NA	NA	NA	NA	NA
-64.25	14.75	NA	NA	NA	NA	NA
-63.75	14.75	NA	NA	NA	NA	NA
-63.25	14.75	NA	NA	NA	NA	NA
-62.75	14.75	NA	NA	NA	NA	NA
-62.25	14.75	NA	NA	NA	NA	NA
-61.75	14.75	NA	NA	NA	NA	NA
-61.25	14.75	25.35033932	0.53818676	116.1683501	509.3797698	75.11573358
-60.75	14.75	NA	NA	NA	NA	NA
-60.25	14.75	NA	NA	NA	NA	NA
-59.75	14.75	NA	NA	NA	NA	NA
-59.25	14.75	NA	NA	NA	NA	NA
-58.75	14.75	NA	NA	NA	NA	NA
-58.25	14.75	NA	NA	NA	NA	NA
-57.75	14.75	NA	NA	NA	NA	NA
-57.25	14.75	NA	NA	NA	NA	NA
-56.75	14.75	NA	NA	NA	NA	NA
-56.25	14.75	NA	NA	NA	NA	NA
-55.75	14.75	NA	NA	NA	NA	NA
-55.25	14.75	NA	NA	NA	NA	NA
-54.75	14.75	NA	NA	NA	NA	NA
-54.25	14.75	NA	NA	NA	NA	NA
-53.75	14.75	NA	NA	NA	NA	NA
-53.25	14.75	NA	NA	NA	NA	NA
-52.75	14.75	NA	NA	NA	NA	NA
-52.25	14.75	NA	NA	NA	NA	NA
-51.75	14.75	NA	NA	NA	NA	NA
-51.25	14.75	NA	NA	NA	NA	NA
-50.75	14.75	NA	NA	NA	NA	NA
-50.25	14.75	NA	NA	NA	NA	NA
-49.75	14.75	NA	NA	NA	NA	NA
-49.25	14.75	NA	NA	NA	NA	NA
-48.75	14.75	NA	NA	NA	NA	NA
-48.25	14.75	NA	NA	NA	NA	NA
-47.75	14.75	NA	NA	NA	NA	NA
-47.25	14.75	NA	NA	NA	NA	NA
-46.75	14.75	NA	NA	NA	NA	NA
-46.25	14.75	NA	NA	NA	NA	NA
-45.75	14.75	NA	NA	NA	NA	NA
-45.25	14.75	NA	NA	NA	NA	NA
-44.75	14.75	NA	NA	NA	NA	NA
-44.25	14.75	NA	NA	NA	NA	NA
-43.75	14.75	NA	NA	NA	NA	NA
-43.25	14.75	NA	NA	NA	NA	NA
-42.75	14.75	NA	NA	NA	NA	NA
-42.25	14.75	NA	NA	NA	NA	NA
-41.75	14.75	NA	NA	NA	NA	NA
