Sciname,Species3,Family3,Order3,Total.individuals,Female,Male,Unknown,Complete.measures,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Hand-Wing.Index,Tail.Length,Mass,Mass.Source,Mass.Refs.Other,Inference,Traits.inferred,Reference.species,Habitat,Habitat.Density,Migration,Trophic.Level,Trophic.Niche,Primary.Lifestyle,Min.Latitude,Max.Latitude,Centroid.Latitude,Centroid.Longitude,Range.Size,Species.Status
Conopophaga_ardesiaca,Conopophaga ardesiaca,Conopophagidae,Passeriformes,13,4,9,0,6,17.5,9,5.7,4.3,30.3,70.8,9.8,61.4,13.9,45.2,26.3,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,-22.34,-12.44,-16.59,-66.994347590000004,100334.39,Extant
Conopophaga_aurita,Conopophaga aurita,Conopophagidae,Passeriformes,6,2,4,0,4,15.6,9.3,5.8,4.4,27.2,67.7,9.6,58,14.2,32.5,26.3,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,-11.46,7.43,-3.08,-62.26264544,3387968.7,Extant
Conopophaga_castaneiceps,Conopophaga castaneiceps,Conopophagidae,Passeriformes,6,3,3,0,4,20.9,9.6,5.9,4.4,29.1,74.4,8.8,65.4,11.8,42.1,27,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,-12.58,8.0399999999999991,-2.0299999999999998,-76.2405629,160640.32000000001,Extant
Conopophaga_cearae,Conopophaga cearae,Conopophagidae,Passeriformes,9,4,4,1,4,15.2,9.6,5.2,4.6,26.9,69.6,6.3,65.5,8.8,43,22,EltonTraits_Model,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,-9.5500000000000007,-4,-7.65,-35.89942508,58582.69,Extant
Conopophaga_lineata,Conopophaga lineata,Conopophagidae,Passeriformes,9,3,6,0,4,16.4,8.9,4.9,4,28.1,70,7.8,62.6,11,45.3,25.21,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,-32.409999999999997,-12.65,-21.94,-48.840961819999997,1896972.3,Extant
Conopophaga_melanogaster,Conopophaga melanogaster,Conopophagidae,Passeriformes,4,1,2,1,3,20.4,11.4,6.2,5.2,32.7,79.2,9.3,70.4,11.8,41.2,42.5,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,-15.14,-2.02,-7.84,-59.33118254,911253.95,Extant
Conopophaga_melanops,Conopophaga melanops,Conopophagidae,Passeriformes,18,10,8,0,4,16,9.9,5.6,4.9,25.5,65.2,8.6,55.4,13.4,28.3,20.1,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,-27.01,-6.6,-18.32,-41.204325660000002,242500.41,Extant
Conopophaga_peruviana,Conopophaga peruviana,Conopophagidae,Passeriformes,12,3,5,4,3,17.7,9.9,6.2,4.5,25.6,65.6,11.2,54.7,17.1,30.8,23,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,-13.73,-0.54,-7.11,-71.844754640000005,1098743.55,Extant
Conopophaga_roberti,Conopophaga roberti,Conopophagidae,Passeriformes,6,2,4,0,4,16.3,9.4,5.7,4.2,26.8,69.9,7.1,62.2,10.2,35.9,20.8,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,-9.26,-0.57999999999999996,-4.87,-45.107557509999999,686966.07,Extant
Campylorhamphus_falcularius,Campylorhamphus falcularius,Dendrocolaptidae,Passeriformes,9,1,4,4,4,71.3,63.2,4.3,5.8,22.2,99.5,13.9,85.5,14,98.4,42.6,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,-30.13,-12.31,-23.57,-48.332672289999998,876884.84,Extant
