"plotID","pointID","plotType","subtype","decimalLatitude","decimalLongitude","geodeticDatum","utmZone","easting","northing","coordinateUncertainty","coordinateSource","elevation","elevationUncertainty","nlcdClass","applicableModules","versionStartDate","versionEndDate"
"JERC_051","21","tower","basePlot",31.199308,-84.464543,"WGS84","16N",741582.009,3454460.646,0.21,"GeoXH 6000",39.85,0.26,"evergreenForest","bbc|cdw|cfc|dhp|hbp|ltr|vst","20140101","20180815"
"JERC_051","23","tower","basePlot",31.199312,-84.464349,"WGS84","16N",741600.446,3454461.502,0.19,"GeoXH 6000",39.8,0.21,"evergreenForest","bbc|cdw|cfc|dhp|hbp|ltr|vst","20140101","20180815"
"JERC_051","57","tower","basePlot",31.199666,-84.464545,"WGS84","16N",741580.895,3454500.375,0.29,"GeoXH 6000",37.46,0.17,"evergreenForest","bbc|cdw|cfc|dhp|hbp|ltr|vst","20140101","20180815"
"JERC_051","59","tower","basePlot",31.199657,-84.464327,"WGS84","16N",741601.722,3454499.781,0.2,"GeoXH 6000",39.88,0.31,"evergreenForest","bbc|cdw|cfc|dhp|hbp|ltr|vst","20140101","20180815"
"JERC_054","57","tower","basePlot",31.198111,-84.469014,"WGS84","16N",741158.936,3454318.186,0.25,"GeoXH 6000",32.45,0.26,"evergreenForest","bbc|cdw|cfc|dhp|hbp|ltr|vst","20140101","20180814"
"JERC_054","59","tower","basePlot",31.198115,-84.468821,"WGS84","16N",741177.322,3454319.086,0.19,"GeoXH 6000",36.02,0.26,"evergreenForest","bbc|cdw|cfc|dhp|hbp|ltr|vst","20140101","20180814"
"JERC_054","61","tower","basePlot",31.198117,-84.468606,"WGS84","16N",741197.765,3454319.682,0.17,"GeoXH 6000",35.82,0.3,"evergreenForest","bbc|cdw|cfc|dhp|hbp|ltr|vst","20140101","20180814"
"JERC_057","57","tower","basePlot",31.201123,-84.469866,"WGS84","16N",741070.064,3454650.262,0.17,"GeoXH 6000",34.68,0.25,"mixedForest","bbc|cdw|cfc|dhp|hbp|ltr|vst","20140101","20180814"
"JERC_057","61","tower","basePlot",31.201121,-84.46945,"WGS84","16N",741109.708,3454650.95,0.2,"GeoXH 6000",33.34,0.24,"mixedForest","bbc|cdw|cfc|dhp|hbp|ltr|vst","20140101","20180814"
"JERC_060","25","tower","basePlot",31.198509,-84.465087,"WGS84","16N",741532.175,3454370.909,0.24,"GeoXH 6000",38.7,0.43,"evergreenForest","bbc|cdw|cfc|dhp|hbp|ltr|vst","20140101","20180814"
"JERC_060","57","tower","basePlot",31.198859,-84.465524,"WGS84","16N",741489.638,3454408.693,0.17,"GeoXH 6000",38.04,0.33,"evergreenForest","bbc|cdw|cfc|dhp|hbp|ltr|vst","20140101","20180814"
"JERC_060","61","tower","basePlot",31.198862,-84.465098,"WGS84","16N",741530.28,3454410.007,0.17,"GeoXH 6000",35.12,0.31,"evergreenForest","bbc|cdw|cfc|dhp|hbp|ltr|vst","20140101","20180814"
