uid,namedLocation,date,nonwoodyCollectDate,domainID,siteID,plotID,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,easting,northing,utmZone,elevation,elevationUncertainty,samplingImpractical,eventID,eventType,dataCollected,subplotsSampled,samplingProtocolVersion,targetTaxaPresent,woodyTargetTaxaPresent,nonWoodyTargetTaxaPresent,treesPresent,shrubsPresent,lianasPresent,cactiPresent,fernsPresent,yuccasPresent,palmsPresent,ocotillosPresent,xerophyllumPresent,nestedSubplotAreaShrubSapling,nestedSubplotAreaLiana,nestedSubplotAreaOther,totalSampledAreaTrees,totalSampledAreaShrubSapling,totalSampledAreaLiana,totalSampledAreaOther,remarks,measuredBy,recordedBy,dataQF,publicationDate,release
5dd63149-5721-4f21-a64e-49e7e35db346,HARV_013.basePlot.vst,2014-01-13,,D01,HARV,HARV_013,distributed,evergreenForest,42.392282,-72.254598,WGS84,20.2,725973.86,4696983.89,18N,184.6,0.2,,vst_HARV_2014,,,,NEON.DOC.000987vD,,,,,,,,,,,,,1,noneSelected,noneSelected,400,8,400,400,QC: No Errors,D01KMG16,,legacyData,20230109T192117Z,RELEASE-2023
618075a2-70c2-42eb-8657-a19b0bf61204,HARV_022.basePlot.vst,2014-02-07,,D01,HARV,HARV_022,distributed,evergreenForest,42.434188,-72.198776,WGS84,20.2,730415.32,4701787.58,18N,193.5,0.3,,vst_HARV_2014,,,,NEON.DOC.000987vD,,,,,,,,,,,,,noneSelected,noneSelected,noneSelected,400,400,400,400,QC: No Error,D01DRC25,,legacyData,20230109T191721Z,RELEASE-2023
77aef487-0da2-4bf0-a18c-e38e0c8bff71,HARV_008.basePlot.vst,2014-05-27,,D01,HARV,HARV_008,distributed,deciduousForest,42.444557,-72.226082,WGS84,20.2,728131.45,4702865.25,18N,242.2,0.2,,vst_HARV_2014,,,,NEON.DOC.000987vD,,,,,,,,,,,,,10,noneSelected,10,400,80,400,80,,D01LEL27,,legacyData,20230109T191630Z,RELEASE-2023
f8cef9cf-bf5b-4d2b-9e75-456ec8527bf4,HARV_004.basePlot.vst,2014-07-25,,D01,HARV,HARV_004,distributed,mixedForest,42.427091,-72.229737,WGS84,20.2,727894.17,4700915.85,18N,199.7,0.2,,vst_HARV_2014,,,,NEON.DOC.000987vD,,,,,,,,,,,,,noneSelected,noneSelected,10,400,400,400,80,"",D01LEL27,,legacyData,20230109T190746Z,RELEASE-2023
a4144e6d-0e03-4d4b-bc3c-05d032972fb5,HARV_024.basePlot.vst,2014-07-29,,D01,HARV,HARV_024,distributed,woodyWetlands,42.460002,-72.250871,WGS84,20.1,726037.03,4704514.04,18N,175,0.1,,vst_HARV_2014,,,,NEON.DOC.000987vD,,,,,,,,,,,,,unknown,unknown,unknown,400,,,,"","",,legacyData,20230109T190746Z,RELEASE-2023
633e7e7e-79c3-49ea-ab05-5e42ecf4648a,HARV_006.basePlot.vst,2014-07-30,,D01,HARV,HARV_006,distributed,deciduousForest,42.403087,-72.25372,WGS84,20.1,726007.33,4698186.1,18N,188.8,0.1,,vst_HARV_2014,,,,NEON.DOC.000987vD,,,,,,,,,,,,,noneSelected,noneSelected,noneSelected,400,400,400,400,"",D01DRC25,,legacyData,20230109T190746Z,RELEASE-2023
73781ebf-2ca2-4208-84cf-7c239772f719,HARV_001.basePlot.vst,2014-07-30,,D01,HARV,HARV_001,distributed,deciduousForest,42.424246,-72.258285,WGS84,20.1,725555.73,4700523.64,18N,190,0.2,,vst_HARV_2014,,,,NEON.DOC.000987vD,,,,,,,,,,,,,noneSelected,noneSelected,10,400,400,400,80,"",D01JLU02,,legacyData,20230109T190746Z,RELEASE-2023
9692e2e0-c561-4eee-ab6b-98e56e94e871,HARV_010.basePlot.vst,2014-07-30,,D01,HARV,HARV_010,distributed,mixedForest,42.424723,-72.254599,WGS84,20.1,725857.27,4700586.41,18N,206.9,0.1,,vst_HARV_2014,,,,NEON.DOC.000987vD,,,,,,,,,,,,,noneSelected,noneSelected,noneSelected,400,400,400,400,"",D01JLU02,,legacyData,20230109T190746Z,RELEASE-2023
a33417fb-60a8-429a-85e1-35f752ef56df,HARV_005.basePlot.vst,2014-07-31,,D01,HARV,HARV_005,distributed,deciduousForest,42.489469,-72.275158,WGS84,20.1,723934.82,4707721.88,18N,189.8,0.3,,vst_HARV_2014,,,,NEON.DOC.000987vD,,,,,,,,,,,,,unknown,unknown,unknown,400,,,,nested subplot sizes not recorded at time of measurement.,"",,legacyData,20230109T190746Z,RELEASE-2023
965f577e-b80a-4de9-a9ca-ae4e3fbc3ebe,HARV_027.basePlot.vst,2014-07-31,,D01,HARV,HARV_027,distributed,evergreenForest,42.43035,-72.253258,WGS84,20.1,725947.38,4701214.85,18N,183.1,0.2,,vst_HARV_2014,,,,NEON.DOC.000987vD,,,,,,,,,,,,,noneSelected,noneSelected,noneSelected,400,400,400,400,"",D01JRS08,,legacyData,20230109T190746Z,RELEASE-2023
