uid,namedLocation,date,eventID,domainID,siteID,plotID,pointID,stemDistance,stemAzimuth,recordType,individualID,supportingStemIndividualID,previouslyTaggedAs,otherTagID,otherTagOrg,samplingProtocolVersion,identificationHistoryID,taxonID,scientificName,taxonRank,identificationReferences,morphospeciesID,morphospeciesIDRemarks,identificationQualifier,remarks,measuredBy,recordedBy,dataQF,publicationDate,release
63507a44-d591-435a-abf6-cfab5424fd83,HARV_050.basePlot.vst,2013-12-19,vst_HARV_2013,D01,HARV,HARV_050,25,23.4,284.7,"",NEON.PLA.D01.HARV.00356,"","","","",NEON.DOC.000987vC,"",BELE,Betula lenta L.,species,"","",,"","",David Crandall,"",,20240412T025749Z,PROVISIONAL
f3010f4f-706a-46b2-856e-8b58cb3d3c3a,HARV_050.basePlot.vst,2013-12-19,vst_HARV_2013,D01,HARV,HARV_050,25,22,280.2,"",NEON.PLA.D01.HARV.00384A,"","","","",NEON.DOC.000987vC,"",TSCA,Tsuga canadensis (L.) Carrière,species,"","",,"","",David Crandall,"",,20240412T025749Z,PROVISIONAL
0e12b28b-1d3d-4445-bfb2-9bef92cf8fd7,HARV_050.basePlot.vst,2013-12-19,vst_HARV_2013,D01,HARV,HARV_050,41,2.2,185.6,"",NEON.PLA.D01.HARV.00374,"","","","",NEON.DOC.000987vC,"",TSCA,Tsuga canadensis (L.) Carrière,species,"","",,"","",David Crandall,"",,20240412T025749Z,PROVISIONAL
1a4feef7-03d2-4eac-96e9-cfcd1ac47f2e,HARV_050.basePlot.vst,2013-12-19,vst_HARV_2013,D01,HARV,HARV_050,,,,"",NEON.PLA.D01.HARV.00362,"","","","",NEON.DOC.000987vC,"",ACRU,Acer rubrum L.,species,"","",,"","",dcrandall@neoninc.org,bvierra@neoninc.org,,20240412T025749Z,PROVISIONAL
4cb60d15-e74f-45bf-a0ac-19b2373818f4,HARV_050.basePlot.vst,2013-12-19,vst_HARV_2013,D01,HARV,HARV_050,21,21,41.9,"",NEON.PLA.D01.HARV.00369,"","","","",NEON.DOC.000987vC,"",BELE,Betula lenta L.,species,"","",,"","",dcrandall@neoninc.org,critz@neoninc.org,,20240412T025749Z,PROVISIONAL
7cb42cae-2d46-453f-b232-acbd3677e033,HARV_050.basePlot.vst,2013-12-19,vst_HARV_2013,D01,HARV,HARV_050,41,2.5,242.9,"",NEON.PLA.D01.HARV.00365,"","","","",NEON.DOC.000987vC,"",ACRU,Acer rubrum L.,species,"","",,"","",dcrandall@neoninc.org,bvierra@neoninc.org,,20240412T025749Z,PROVISIONAL
8eba46d7-fe4f-47be-aabf-17c820d0ec76,HARV_050.basePlot.vst,2013-12-19,vst_HARV_2013,D01,HARV,HARV_050,25,27.2,292.5,"",NEON.PLA.D01.HARV.00367,"","","","",NEON.DOC.000987vC,"",QURU,Quercus rubra L.,species,"","",,"","",dcrandall@neoninc.org,bvierra@neoninc.org,,20240412T025749Z,PROVISIONAL
59246300-4175-42c5-b4e7-34dec97c7f67,HARV_050.basePlot.vst,2013-12-19,vst_HARV_2013,D01,HARV,HARV_050,21,26,42.7,"",NEON.PLA.D01.HARV.00364,"","","","",NEON.DOC.000987vC,"",ACRU,Acer rubrum L.,species,"","",,"","",David Crandall,"",,20240412T025749Z,PROVISIONAL
e52f264a-aa65-4bdf-9624-fce1c9f955ac,HARV_050.basePlot.vst,2013-12-19,vst_HARV_2013,D01,HARV,HARV_050,,,,"",NEON.PLA.D01.HARV.00368,"","","","",NEON.DOC.000987vC,"",TSCA,Tsuga canadensis (L.) Carrière,species,"","",,"","",critz@neoninc.org,kgodfrey@battelleecology.org,,20240412T025749Z,PROVISIONAL
e0439793-9086-46d8-8125-4258da675cc4,HARV_050.basePlot.vst,2013-12-19,vst_HARV_2013,D01,HARV,HARV_050,,,,"",NEON.PLA.D01.HARV.00366,"","","","",NEON.DOC.000987vC,"",TSCA,Tsuga canadensis (L.) Carrière,species,"","",,"","",critz@neoninc.org,kgodfrey@battelleecology.org,,20240412T025749Z,PROVISIONAL
