"ID","Name_submitted","Overall_score","Name_matched_id","Name_matched","Name_score","Name_matched_rank","Author_submitted","Author_matched","Author_score","Canonical_author","Name_matched_accepted_family","Genus_submitted","Genus_matched","Genus_score","Specific_epithet_submitted","Specific_epithet_matched","Specific_epithet_score","Family_submitted","Family_matched","Family_score","Infraspecific_rank","Infraspecific_epithet_matched","Infraspecific_epithet_score","Infraspecific_rank_2","Infraspecific_epithet_2_matched","Infraspecific_epithet_2_score","Annotations","Unmatched_terms","Name_matched_url","Name_matched_lsid","Phonetic","Taxonomic_status","Accepted_name","Accepted_species","Accepted_name_author","Accepted_name_id","Accepted_name_rank","Accepted_name_url","Accepted_name_lsid","Accepted_family","Overall_score_order","Highertaxa_score_order","Source","Warnings","unique_id","Best_match_overall_score","Best_match_highertaxa"
"1","Pinus strobus L.","1","475365","Pinus strobus","1","species","L.","L.","1","L.","Pinaceae","Pinus","Pinus","1","strobus","strobus","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:197100-2","","Y","Accepted","Pinus strobus","Pinus strobus","L.","475365","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:197100-2","","Pinaceae",1,"1","wcvp","","1",true,true
"2","Acer rubrum L.","1","508558","Acer rubrum","1","species","L.","L.","1","L.","Sapindaceae","Acer","Acer","1","rubrum","rubrum","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:1867-2","","Y","Accepted","Acer rubrum","Acer rubrum","L.","508558","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:1867-2","","Sapindaceae",1,"1","wcvp","","2",true,true
"3","Trientalis borealis Raf. ssp. borealis","0.59957384396743","448672","Trientalis borealis","0.59957384396743","species","","","","Raf.","Primulaceae","Trientalis","Trientalis","1","borealis","borealis","1","","","","","","","","","","","ssp. borealis","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:702922-1","","Y","Synonym","Lysimachia borealis","Lysimachia borealis","(Raf.) U.Manns & Anderb.","736286","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77100389-1","","Primulaceae",1,"1","wcvp","[Partial]","3",true,true
"4","Vaccinium pallidum Aiton","1","1034278","Vaccinium pallidum","1","species","Aiton","Aiton","1","Aiton","Ericaceae","Vaccinium","Vaccinium","1","pallidum","pallidum","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:317268-2","","Y","Accepted","Vaccinium pallidum","Vaccinium pallidum","Aiton","1034278","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:317268-2","","Ericaceae",1,"1","wcvp","","4",true,true
"5","Quercus rubra L.","1","288011","Quercus rubra","1","species","L.","L.","1","L.","Fagaceae","Quercus","Quercus","1","rubra","rubra","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:296701-1","","Y","Accepted","Quercus rubra","Quercus rubra","L.","288011","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:296701-1","","Fagaceae",1,"1","wcvp","","5",true,true
"6","Gaultheria procumbens L.","1","687813","Gaultheria procumbens","1","species","L.","L.","1","L.","Ericaceae","Gaultheria","Gaultheria","1","procumbens","procumbens","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:330655-1","","Y","Accepted","Gaultheria procumbens","Gaultheria procumbens","L.","687813","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:330655-1","","Ericaceae",1,"1","wcvp","","6",true,true
"7","Medeola virginiana L.","1","687528","Medeola virginiana","1","species","L.","L.","1","L.","Liliaceae","Medeola","Medeola","1","virginiana","virginiana","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:328550-2","","Y","Accepted","Medeola virginiana","Medeola virginiana","L.","687528","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:328550-2","","Liliaceae",1,"1","wcvp","","7",true,true
"8","Fraxinus americana L.","1","824011","Fraxinus americana","1","species","L.","L.","1","L.","Oleaceae","Fraxinus","Fraxinus","1","americana","americana","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:105770-2","","Y","Accepted","Fraxinus americana","Fraxinus americana","L.","824011","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:105770-2","","Oleaceae",1,"1","wcvp","","8",true,true
"9","Amelanchier laevis Wiegand","1","999792","Amelanchier laevis","1","species","Wiegand","Wiegand","1","Wiegand","Rosaceae","Amelanchier","Amelanchier","1","laevis","laevis","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:721220-1","","Y","Accepted","Amelanchier laevis","Amelanchier laevis","Wiegand","999792","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:721220-1","","Rosaceae",1,"1","wcvp","","9",true,true
"10","Hamamelis virginiana L.","1","1051842","Hamamelis virginiana","1","species","L.","L.","1","L.","Hamamelidaceae","Hamamelis","Hamamelis","1","virginiana","virginiana","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:430697-1","","Y","Accepted","Hamamelis virginiana","Hamamelis virginiana","L.","1051842","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:430697-1","","Hamamelidaceae",1,"1","wcvp","","10",true,true
"11","Betula lenta L.","1","329014","Betula lenta","1","species","L.","L.","1","L.","Betulaceae","Betula","Betula","1","lenta","lenta","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:295125-1","","Y","Accepted","Betula lenta","Betula lenta","L.","329014","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:295125-1","","Betulaceae",1,"1","wcvp","","11",true,true
"12","Rubus idaeus L.","1","991663","Rubus idaeus","1","species","L.","L.","1","L.","Rosaceae","Rubus","Rubus","1","idaeus","idaeus","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:298089-2","","Y","Accepted","Rubus idaeus","Rubus idaeus","L.","991663","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:298089-2","","Rosaceae",1,"1","wcvp","","12",true,true
"13","Carex sp.","0.9","1396841","Carex","1","genus","","","","L.","Cyperaceae","Carex","Carex","1","","","","","","","","","","","","","","sp.","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:330029-2","","Y","Accepted","Carex","","L.","1396841","genus","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:330029-2","","Cyperaceae",1,"1","wcvp","","13",true,true
"14","Maianthemum canadense Desf.","1","683778","Maianthemum canadense","1","species","Desf.","Desf.","1","Desf.","Asparagaceae","Maianthemum","Maianthemum","1","canadense","canadense","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:538030-1","","Y","Accepted","Maianthemum canadense","Maianthemum canadense","Desf.","683778","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:538030-1","","Asparagaceae",1,"1","wcvp","","14",true,true
