plotID,pointID,plotType,subtype,decimalLatitude,decimalLongitude,geodeticDatum,utmZone,easting,northing,coordinateUncertainty,coordinateSource,elevation,elevationUncertainty,nlcdClass,applicableModules,versionStartDate,versionEndDate
BART_006,31.1.1,distributed,basePlot,44.060426,-71.311027,WGS84,19N,314901.901,4881180.92,0.43,GIS,443.56,0.27,deciduousForest,div,20140101,20201020
BART_006,31.1.10,distributed,basePlot,44.060436,-71.311014,WGS84,19N,314902.982,4881182.001,1.18,GIS,443.56,0.27,deciduousForest,div,20140101,20201020
BART_006,31,distributed,basePlot,44.060467,-71.310972,WGS84,19N,314906.401,4881185.42,2.18,GIS,443.56,0.27,deciduousForest,div,20140101,20201020
BART_006,40.3.1,distributed,basePlot,44.060604,-71.311035,WGS84,19N,314901.845,4881200.719,0.45,GIS,437.66,0.28,deciduousForest,div,20140101,20201020
BART_006,40.3.10,distributed,basePlot,44.060594,-71.311021,WGS84,19N,314902.926,4881199.638,1.2,GIS,437.66,0.28,deciduousForest,div,20140101,20201020
BART_006,40.1.1,distributed,basePlot,44.060523,-71.311031,WGS84,19N,314901.845,4881191.719,0.45,GIS,437.66,0.28,deciduousForest,div,20140101,20201020
BART_006,40.1.10,distributed,basePlot,44.060533,-71.311018,WGS84,19N,314902.926,4881192.8,1.2,GIS,437.66,0.28,deciduousForest,div,20140101,20201020
BART_006,40,distributed,basePlot,44.060565,-71.310977,WGS84,19N,314906.345,4881196.219,2.2,GIS,437.66,0.28,deciduousForest,div,20140101,20201020
BART_006,21,distributed,basePlot,44.060355,-71.311178,WGS84,19N,314889.597,4881173.346,0.15,GeoXH 6000,446.71,0.23,deciduousForest,cdw|cfc|dhp|hbp|vst,20140101,20201020
BART_006,31,distributed,basePlot,44.060421,-71.311033,WGS84,19N,314901.401,4881180.42,0.18,GeoXH 6000,443.56,0.27,deciduousForest,cdw|cfc|dhp|hbp|vst,20140101,20201020
BART_006,25,distributed,basePlot,44.060341,-71.310646,WGS84,19N,314932.152,4881170.596,0.19,GeoXH 6000,437.12,0.19,deciduousForest,cdw|cfc|dhp|hbp|vst,20140101,20201020
BART_006,49,distributed,basePlot,44.060608,-71.311041,WGS84,19N,314901.345,4881201.219,0.2,GeoXH 6000,437.66,0.28,deciduousForest,cdw|cfc|dhp|hbp|vst,20140101,20201020
BART_006,57,distributed,basePlot,44.0607,-71.311153,WGS84,19N,314892.652,4881211.624,0.23,GeoXH 6000,440.52,0.38,deciduousForest,cdw|cfc|dhp|hbp|vst,20140101,20201020
BART_018,31.1.1,distributed,basePlot,44.058378,-71.277984,WGS84,19N,317542.147,4880879.74,0.39,GIS,313.4,0.19,mixedForest,div,20140101,20201020
BART_018,31.1.10,distributed,basePlot,44.058388,-71.277971,WGS84,19N,317543.228,4880880.821,1.14,GIS,313.4,0.19,mixedForest,div,20140101,20201020
BART_018,31,distributed,basePlot,44.05842,-71.27793,WGS84,19N,317546.647,4880884.24,2.14,GIS,313.4,0.19,mixedForest,div,20140101,20201020
BART_018,32.2.1,distributed,basePlot,44.058407,-71.277752,WGS84,19N,317560.865,4880882.458,0.46,GIS,313.62,0.36,mixedForest,div,20140101,20201020
BART_018,32.2.10,distributed,basePlot,44.058417,-71.277766,WGS84,19N,317559.784,4880883.539,1.21,GIS,313.62,0.36,mixedForest,div,20140101,20201020
BART_018,32,distributed,basePlot,44.058447,-71.277809,WGS84,19N,317556.365,4880886.958,2.21,GIS,313.62,0.36,mixedForest,div,20140101,20201020
BART_018,32.4.1,distributed,basePlot,44.058488,-71.277755,WGS84,19N,317560.865,4880891.458,0.46,GIS,313.62,0.36,mixedForest,div,20140101,20201020
BART_018,32.4.10,distributed,basePlot,44.058478,-71.277768,WGS84,19N,317559.784,4880890.377,1.21,GIS,313.62,0.36,mixedForest,div,20140101,20201020
BART_018,40.3.1,distributed,basePlot,44.058523,-71.277968,WGS84,19N,317543.907,4880895.763,0.55,GIS,319.27,0.46,mixedForest,div,20140101,20201020
BART_018,40.3.10,distributed,basePlot,44.058513,-71.277954,WGS84,19N,317544.988,4880894.682,1.3,GIS,319.27,0.46,mixedForest,div,20140101,20201020
BART_018,40.1.1,distributed,basePlot,44.058442,-71.277965,WGS84,19N,317543.907,4880886.763,0.55,GIS,319.27,0.46,mixedForest,div,20140101,20201020
BART_018,40.1.10,distributed,basePlot,44.058452,-71.277952,WGS84,19N,317544.988,4880887.844,1.3,GIS,319.27,0.46,mixedForest,div,20140101,20201020
BART_018,40,distributed,basePlot,44.058483,-71.27791,WGS84,19N,317548.407,4880891.263,2.3,GIS,319.27,0.46,mixedForest,div,20140101,20201020
BART_018,49,distributed,basePlot,44.058527,-71.277974,WGS84,19N,317543.407,4880896.263,0.3,GeoXH 6000,319.27,0.46,mixedForest,cdw|cfc|dhp|hbp|vst,20140101,20201020
BART_018,21,distributed,basePlot,44.058252,-71.278097,WGS84,19N,317532.715,4880865.963,0.27,GeoXH 6000,320.44,0.4,mixedForest,cdw|cfc|dhp|hbp|vst,20140101,20201020
BART_018,57,distributed,basePlot,44.058637,-71.278147,WGS84,19N,317529.921,4880908.805,0.27,GeoXH 6000,316.45,0.41,mixedForest,cdw|cfc|dhp|hbp|vst,20140101,20201020
BART_018,33,distributed,basePlot,44.058403,-71.277745,WGS84,19N,317561.365,4880881.958,0.21,GeoXH 6000,313.62,0.36,mixedForest,cdw|cfc|dhp|hbp|vst,20140101,20201020
BART_018,31,distributed,basePlot,44.058373,-71.27799,WGS84,19N,317541.647,4880879.24,0.14,GeoXH 6000,313.4,0.19,mixedForest,cdw|cfc|dhp|hbp|vst,20140101,20201020
BART_018,25,distributed,basePlot,44.058301,-71.277609,WGS84,19N,317571.961,4880870.375,0.31,GeoXH 6000,315.49,0.41,mixedForest,cdw|cfc|dhp|hbp|vst,20140101,20201020
BART_019,25,distributed,tickPlot,44.069167,-71.287714,WGS84,19N,316796.145,4882099.698,0.2,GeoXH 6000,239.71,0.34,mixedForest,tck,20140101,20201022
BART_019,57,distributed,tickPlot,44.069557,-71.2883,WGS84,19N,316750.392,4882144.296,0.2,GeoXH 6000,229.12,0.29,mixedForest,tck,20140101,20201022
BART_019,61,distributed,tickPlot,44.069503,-71.287737,WGS84,19N,316795.274,4882137.014,0.16,GeoXH 6000,239.92,0.2,mixedForest,tck,20140101,20201022
BART_031,31.1.1,distributed,basePlot,44.055466,-71.305231,WGS84,19N,315350.723,4880616.977,0.49,GIS,420.25,0.3,evergreenForest,div,20140101,20201020
BART_031,31.1.10,distributed,basePlot,44.055476,-71.305218,WGS84,19N,315351.804,4880618.058,1.24,GIS,420.25,0.3,evergreenForest,div,20140101,20201020
BART_031,31,distributed,basePlot,44.055507,-71.305176,WGS84,19N,315355.223,4880621.477,2.24,GIS,420.25,0.3,evergreenForest,div,20140101,20201020
BART_031,40.3.1,distributed,basePlot,44.055621,-71.305211,WGS84,19N,315352.767,4880634.146,0.44,GIS,409.02,0.26,evergreenForest,div,20140101,20201020
BART_031,40.3.10,distributed,basePlot,44.055611,-71.305197,WGS84,19N,315353.848,4880633.065,1.19,GIS,409.02,0.26,evergreenForest,div,20140101,20201020
BART_031,40.1.1,distributed,basePlot,44.05554,-71.305208,WGS84,19N,315352.767,4880625.146,0.44,GIS,409.02,0.26,evergreenForest,div,20140101,20201020
BART_031,40.1.10,distributed,basePlot,44.05555,-71.305195,WGS84,19N,315353.848,4880626.227,1.19,GIS,409.02,0.26,evergreenForest,div,20140101,20201020
BART_031,40,distributed,basePlot,44.055581,-71.305153,WGS84,19N,315357.267,4880629.646,2.19,GIS,409.02,0.26,evergreenForest,div,20140101,20201020
BART_031,41.4.1,distributed,basePlot,44.055614,-71.305019,WGS84,19N,315368.133,4880633.022,0.47,GIS,413.38,0.31,evergreenForest,div,20140101,20201020
BART_031,41.4.10,distributed,basePlot,44.055604,-71.305032,WGS84,19N,315367.052,4880631.941,1.22,GIS,413.38,0.31,evergreenForest,div,20140101,20201020
BART_032,43,tower,basePlot,44.067473,-71.287329,WGS84,19N,316821.744,4881910.708,0.16,GeoXH 6000,246.14,0.25,deciduousForest,bbc|cdw|cfc|dhp|hbp|ltr|vst,20140101,20201022
BART_032,59,tower,basePlot,44.067656,-71.287598,WGS84,19N,316800.754,4881931.566,0.18,GeoXH 6000,247.07,0.27,deciduousForest,bbc|cdw|cfc|dhp|hbp|ltr|vst,20140101,20201022
BART_032,61,tower,basePlot,44.067661,-71.28731,WGS84,19N,316823.858,4881931.503,0.21,GeoXH 6000,244.67,0.27,deciduousForest,bbc|cdw|cfc|dhp|hbp|ltr|vst,20140101,20201022
BART_034,61,tower,basePlot,44.064459,-71.285359,WGS84,19N,316970.226,4881571.529,0.17,GeoXH 6000,266.34,0.21,mixedForest,bbc|cdw|cfc|dhp|hbp|ltr|vst,20140101,20201022
BART_046,39,tower,basePlot,44.059952,-71.285675,WGS84,19N,316930.962,4881071.617,0.17,GeoXH 6000,298.46,0.21,deciduousForest,bbc|cdw|cfc|dhp|hbp|ltr|vst,20140101,20201022
BART_051,39,tower,basePlot,44.062852,-71.287998,WGS84,19N,316753.89,4881398.897,0.16,GeoXH 6000,279.36,0.23,deciduousForest,bbc|cdw|dhp|hbp|ltr|vst,20130101,20141231
BART_051,21,tower,basePlot,44.062662,-71.287982,WGS84,19N,316754.598,4881377.719,0.2,GeoXH 6000,281.98,0.34,deciduousForest,bbc|cdw|dhp|hbp|ltr|vst,20130101,20141231
BART_051,25,tower,basePlot,44.062711,-71.287528,WGS84,19N,316791.128,4881382.141,0.2,GeoXH 6000,289.04,0.22,deciduousForest,bbc|cdw|dhp|hbp|ltr|vst,20130101,20141231
BART_051,59,tower,basePlot,44.063031,-71.287731,WGS84,19N,316775.793,4881418.203,0.21,GeoXH 6000,280.88,0.3,deciduousForest,bbc|cdw|dhp|hbp|ltr|vst,20130101,20141231
BART_051,57,tower,basePlot,44.063021,-71.287971,WGS84,19N,316756.592,4881417.583,0.23,GeoXH 6000,282.81,0.36,deciduousForest,bbc|cdw|dhp|hbp|ltr|vst,20130101,20141231
BART_051,61,tower,basePlot,44.063022,-71.287501,WGS84,19N,316794.236,4881416.686,0.25,GeoXH 6000,283.84,0.32,deciduousForest,bbc|cdw|dhp|hbp|ltr|vst,20130101,20141231
BART_051,23,tower,basePlot,44.062661,-71.287719,WGS84,19N,316775.637,4881377.069,0.25,GeoXH 6000,283.68,0.34,deciduousForest,bbc|cdw|dhp|hbp|ltr|vst,20130101,20141231
BART_051,43,tower,basePlot,44.062832,-71.287479,WGS84,19N,316795.365,4881395.508,0.25,GeoXH 6000,285.11,0.43,deciduousForest,bbc|cdw|dhp|hbp|ltr|vst,20130101,20141231
BART_051,41,tower,basePlot,44.062849,-71.287737,WGS84,19N,316774.753,4881398.034,0.28,GeoXH 6000,280.02,0.44,deciduousForest,bbc|cdw|dhp|hbp|ltr|vst,20130101,20141231
BART_080,32.2.1,distributed,basePlot,44.047307,-71.319613,WGS84,19N,314173.18,4879743.13,0.42,GIS,624.72,0.26,deciduousForest,div,20150101,20201019
BART_080,32.2.10,distributed,basePlot,44.047316,-71.319627,WGS84,19N,314172.099,4879744.211,1.17,GIS,624.72,0.26,deciduousForest,div,20150101,20201019
BART_080,32,distributed,basePlot,44.047346,-71.31967,WGS84,19N,314168.68,4879747.63,2.17,GIS,624.72,0.26,deciduousForest,div,20150101,20201019
BART_080,32.4.1,distributed,basePlot,44.047388,-71.319616,WGS84,19N,314173.18,4879752.13,0.42,GIS,624.72,0.26,deciduousForest,div,20150101,20201019
BART_080,32.4.10,distributed,basePlot,44.047378,-71.319629,WGS84,19N,314172.099,4879751.049,1.17,GIS,624.72,0.26,deciduousForest,div,20150101,20201019
BART_080,40.3.1,distributed,basePlot,44.047462,-71.319863,WGS84,19N,314153.62,4879760.875,0.39,GIS,631.89,0.18,deciduousForest,div,20150101,20201019
BART_080,40.3.10,distributed,basePlot,44.047452,-71.319849,WGS84,19N,314154.701,4879759.794,1.14,GIS,631.89,0.18,deciduousForest,div,20150101,20201019
BART_080,40.1.1,distributed,basePlot,44.047381,-71.31986,WGS84,19N,314153.62,4879751.875,0.39,GIS,631.89,0.18,deciduousForest,div,20150101,20201019
BART_080,40.1.10,distributed,basePlot,44.047391,-71.319847,WGS84,19N,314154.701,4879752.956,1.14,GIS,631.89,0.18,deciduousForest,div,20150101,20201019
BART_080,40,distributed,basePlot,44.047422,-71.319805,WGS84,19N,314158.12,4879756.375,2.14,GIS,631.89,0.18,deciduousForest,div,20150101,20201019
BART_080,41.4.1,distributed,basePlot,44.047457,-71.31964,WGS84,19N,314171.442,4879759.801,0.42,GIS,631.56,0.26,deciduousForest,div,20150101,20201019
BART_080,41.4.10,distributed,basePlot,44.047447,-71.319653,WGS84,19N,314170.361,4879758.72,1.17,GIS,631.56,0.26,deciduousForest,div,20150101,20201019
DEJU_017,E10,distributed,mammalGrid,63.881578,-145.7815,WGS84,06N,559849,7084390,NA,GIS,516.24,NA,evergreenForest,mam,20100101,20230601
